where , e , 129 , 1441356148882 , 432.483 , 457.1601
where , e , 129 , 1441356148949 , 425.8867 , 479.4527
where , e , 129 , 1441356149015 , 431.8644 , 483.1663
where , e , 129 , 1441356149048 , 425.4473 , 481.1938
where , e , 129 , 1441356149082 , 425.9205 , 484.5915
where , e , 129 , 1441356149115 , 425.1613 , 486.7687
where , e , 129 , 1441356149148 , 425.5207 , 485.2062
where , e , 129 , 1441356149182 , 425.3147 , 484.338
where , e , 129 , 1441356149215 , 428.5693 , 486.1536
until , l , 98 , 1441356150514 , 566.2101 , 241.2207
until , l , 98 , 1441356150547 , 585.1198 , 237.9184
the , h , 58 , 1441356150580 , 598.5049 , 243.4013
the , h , 58 , 1441356150614 , 607.5828 , 252.0088
the , h , 58 , 1441356150647 , 594.6688 , 254.9279
until , l , 98 , 1441356150680 , 584.7761 , 261.1419
until , l , 98 , 1441356150947 , 567.7114 , 242.5703
until , l , 98 , 1441356151013 , 579.0281 , 266.7728
until , l , 98 , 1441356151047 , 573.8126 , 266.8826
until , l , 98 , 1441356151080 , 564.1218 , 272.274
until , l , 98 , 1441356151113 , 563.4232 , 264.4867
until , l , 98 , 1441356151147 , 563.9221 , 268.3029
until , l , 98 , 1441356151180 , 561.7358 , 272.3472
until , l , 98 , 1441356151213 , 560.5054 , 282.3229
until , l , 98 , 1441356151247 , 558.3445 , 287.0499
until , l , 98 , 1441356151280 , 558.7543 , 288.6689
until , i , 97 , 1441356151313 , 557.9226 , 288.617
until , l , 98 , 1441356151346 , 562.6442 , 289.1051
until , l , 98 , 1441356151380 , 564.4503 , 290.6183
until , l , 98 , 1441356151413 , 564.2032 , 292.1794
until , l , 98 , 1441356151446 , 565.0263 , 296.938
until , l , 98 , 1441356151480 , 564.9879 , 298.6679
until , l , 98 , 1441356151513 , 565.859 , 302.533
until , l , 98 , 1441356151546 , 562.127 , 304.6228
until , l , 98 , 1441356151580 , 561.1848 , 308.4128
until , l , 98 , 1441356151613 , 559.2439 , 312.4447
until , l , 98 , 1441356151646 , 558.4383 , 315.2649
until , l , 98 , 1441356151679 , 559.0255 , 317.3062
you , u , 133 , 1441356151713 , 557.4855 , 320.6736
you , u , 133 , 1441356151746 , 557.1599 , 323.7474
appearing , g , 123 , 1441356152812 , 257.9194 , 346.7054
appearing , n , 122 , 1441356152845 , 206.3528 , 335.0001
appearing , i , 121 , 1441356152878 , 179.3749 , 338.1349
appearing , r , 120 , 1441356152912 , 153.3612 , 347.7223
appearing , r , 120 , 1441356152945 , 146.0548 , 347.7324
appearing , e , 118 , 1441356152978 , 106.8243 , 396.3154
appearing , a , 119 , 1441356153012 , 133.0203 , 383.5686
appearing , a , 119 , 1441356153045 , 126.8188 , 430.5353
appearing , r , 120 , 1441356153078 , 142.8156 , 428.456
appearing , r , 120 , 1441356153112 , 155.546 , 428.4524
appearing , r , 120 , 1441356153145 , 153.0346 , 428.9174
appearing , r , 120 , 1441356153178 , 151.6305 , 421.9396
appearing , r , 120 , 1441356153212 , 148.4674 , 419.7123
appearing , r , 120 , 1441356153245 , 150.0575 , 416.0338
appearing , r , 120 , 1441356153278 , 150.2964 , 415.0434
appearing , r , 120 , 1441356153311 , 149.7911 , 411.6563
appearing , r , 120 , 1441356153345 , 144.9426 , 413.2103
appearing , r , 120 , 1441356153378 , 144.1783 , 412.315
appearing , r , 120 , 1441356153411 , 142.9733 , 409.8715
appearing , r , 120 , 1441356153445 , 147.277 , 406.4801
appearing , r , 120 , 1441356153478 , 149.2158 , 405.0488
appearing , r , 120 , 1441356153511 , 146.5705 , 404.6998
appearing , r , 120 , 1441356153545 , 145.8198 , 401.1687
appearing , r , 120 , 1441356153578 , 143.0626 , 399.0683
appearing , r , 120 , 1441356153611 , 140.2119 , 402.3219
appearing , r , 120 , 1441356153644 , 140.1793 , 398.6203
appearing , a , 119 , 1441356153678 , 136.239 , 397.6063
appearing , a , 119 , 1441356153711 , 135.3253 , 400.2749
appearing , a , 119 , 1441356153744 , 133.9162 , 399.7197
appearing , a , 119 , 1441356153778 , 132.9162 , 405.3533
appearing , a , 119 , 1441356153811 , 130.4075 , 407.4596
appearing , a , 119 , 1441356153844 , 128.7086 , 410.3045
appearing , a , 119 , 1441356153878 , 127.1678 , 412.4508
appearing , a , 119 , 1441356153911 , 125.1329 , 415.9717
appearing , a , 119 , 1441356153944 , 122.5399 , 416.836
appearing , a , 119 , 1441356153977 , 122.8405 , 418.7866
appearing , a , 119 , 1441356154011 , 120.7461 , 422.6102
appearing , a , 119 , 1441356154044 , 118.7864 , 425.2199
appearing , a , 119 , 1441356154077 , 118.2557 , 427.0202
appearing , a , 119 , 1441356154111 , 117.8305 , 430.3626
appearing , a , 119 , 1441356154144 , 117.9918 , 431.0369
appearing , a , 119 , 1441356154177 , 116.9906 , 433.0589
appearing , a , 119 , 1441356154211 , 116.6221 , 433.1704
appearing , a , 119 , 1441356154244 , 116.2238 , 434.4964
appearing , a , 119 , 1441356154277 , 113.0374 , 434.7493
appearing , a , 119 , 1441356154311 , 109.0848 , 436.1536
appearing , a , 119 , 1441356154344 , 110.2184 , 437.1498
appearing , a , 119 , 1441356154377 , 108.6399 , 441.4927
appearing , a , 119 , 1441356154410 , 108.2943 , 443.314
appearing , a , 119 , 1441356154444 , 108.7844 , 443.4455
appearing , e , 118 , 1441356154477 , 105.6919 , 442.9721
appearing , e , 118 , 1441356154510 , 104.311 , 442.0664
appearing , e , 118 , 1441356154544 , 99.9013 , 442.5774
appearing , e , 118 , 1441356154577 , 96.1929 , 446.0498
appearing , e , 118 , 1441356154610 , 93.0686 , 446.6971
appearing , e , 118 , 1441356154644 , 92.7717 , 449.3849
appearing , e , 118 , 1441356154677 , 91.9367 , 450.2777
appearing , e , 118 , 1441356154710 , 89.8808 , 453.2599
appearing , e , 118 , 1441356154744 , 87.6548 , 454.8965
appearing , e , 118 , 1441356154777 , 88.3734 , 458.4704
appearing , e , 118 , 1441356154810 , 83.9121 , 461.467
appearing , e , 118 , 1441356154843 , 82.0173 , 463.3857
appearing , e , 118 , 1441356154877 , 80.2224 , 463.8535
appearing , p , 117 , 1441356154910 , 77.9529 , 466.9505
appearing , p , 117 , 1441356154943 , 77.1958 , 470.163
appearing , p , 117 , 1441356154977 , 72.3643 , 471.1566
appearing , p , 117 , 1441356155010 , 68.5323 , 472.3936
appearing , p , 117 , 1441356155043 , 66.4029 , 472.0186
appearing , p , 117 , 1441356155077 , 63.1722 , 472.6389
appearing , p , 117 , 1441356155110 , 62.9688 , 473.4844
appearing , p , 117 , 1441356155143 , 62.282 , 476.2542
appearing , p , 117 , 1441356155176 , 62.5774 , 473.9848
appearing , p , 117 , 1441356155210 , 61.3318 , 472.7256
appearing , p , 117 , 1441356155243 , 59.2429 , 473.2422
appearing , p , 117 , 1441356155276 , 56.4693 , 476.7758
appearing , p , 117 , 1441356155310 , 55.2073 , 478.2819
appearing , p , 117 , 1441356155343 , 51.6263 , 476.3607
appearing , p , 117 , 1441356155410 , 64.0137 , 448.6461
appearing , p , 117 , 1441356155443 , 54.2383 , 454.9615
appearing , p , 116 , 1441356155476 , 43.2448 , 486.9764
appearing , r , 120 , 1441356155543 , 162.2349 , 479.2956
appearing , e , 118 , 1441356155776 , 81.8396 , 445.0196
appearing , e , 118 , 1441356155809 , 105.6908 , 472.6183
appearing , e , 118 , 1441356155843 , 82.6629 , 472.4505
appearing , p , 117 , 1441356155876 , 76.0883 , 458.998
appearing , p , 117 , 1441356155909 , 75.6329 , 458.7591
appearing , p , 117 , 1441356155943 , 71.4245 , 467.86
Test , T , 0 , 1441356158440 , 0.0 , 0.0
Test , T , 0 , 1441356159306 , 0.0 , 0.0
Test , T , 0 , 1441356159340 , 0.0 , 0.0
Test , T , 0 , 1441356159839 , 0.0 , 0.0
Test , T , 0 , 1441356159872 , 0.0 , 0.0
Test , T , 0 , 1441356159906 , 0.0 , 0.0
Test , T , 0 , 1441356160339 , 0.0 , 0.0
Test , T , 0 , 1441356160405 , 0.0 , 0.0
Test , T , 0 , 1441356160439 , 0.0 , 0.0
Test , T , 0 , 1441356160572 , 0.0 , 0.0
Test , T , 0 , 1441356160605 , 0.0 , 0.0
Test , T , 0 , 1441356160705 , 0.0 , 0.0
Test , T , 0 , 1441356160805 , 0.0 , 0.0
Test , T , 0 , 1441356160872 , 0.0 , 0.0
Test , T , 0 , 1441356160938 , 0.0 , 0.0
Test , T , 0 , 1441356161038 , 0.0 , 0.0
you , u , 133 , 1441356163171 , 540.7787 , 355.3449
the , t , 57 , 1441356163204 , 560.9388 , 159.0426
and , n , 54 , 1441356163237 , 483.1231 , 145.6615
and , a , 53 , 1441356163271 , 463.2986 , 153.3324
and , a , 53 , 1441356163304 , 448.5822 , 163.4937
and , a , 53 , 1441356163337 , 442.3564 , 155.925
please , l , 13 , 1441356163370 , 390.9119 , 73.3638
head , d , 51 , 1441356163404 , 391.5503 , 154.4159
please , e , 14 , 1441356163437 , 417.3479 , 135.6505
please , e , 14 , 1441356163470 , 412.0098 , 134.9546
please , e , 14 , 1441356163504 , 412.2815 , 125.3033
head , d , 51 , 1441356163537 , 407.141 , 127.3438
head , d , 51 , 1441356163570 , 404.7931 , 119.3583
Test , T , 0 , 1441356163604 , 6.0168 , 28.0125
Test , T , 0 , 1441356163637 , -40.9681 , 76.1104
Test , T , 0 , 1441356163670 , -32.1401 , 51.8943
Test , T , 0 , 1441356163703 , -29.96 , 47.0952
Test , T , 0 , 1441356163770 , 0.0 , 0.0
Test , T , 0 , 1441356163837 , 0.0 , 0.0
Test , T , 0 , 1441356163870 , 0.0 , 0.0
Trial , i , 7 , 1441356163903 , 222.271 , 52.2924
Test , T , 0 , 1441356163937 , 0.0 , 0.0
Test , T , 0 , 1441356163970 , 0.0 , 0.0
Test , T , 0 , 1441356164003 , 0.0 , 0.0
Test , T , 0 , 1441356164037 , 0.0 , 0.0
please , e , 14 , 1441356164103 , 411.3341 , 60.8109
you , u , 77 , 1441356164137 , 1158.7881 , 96.8263
you , u , 77 , 1441356164203 , 1175.3579 , 107.9423
rest , t , 69 , 1441356164769 , 930.1463 , 108.4147
you , y , 131 , 1441356164803 , 486.7071 , 368.7107
you , o , 132 , 1441356164836 , 500.0806 , 368.0798
you , o , 132 , 1441356164869 , 501.0708 , 363.7901
you , o , 132 , 1441356164902 , 501.6666 , 371.2447
you , o , 132 , 1441356164936 , 502.8047 , 373.9094
you , o , 132 , 1441356164969 , 506.1284 , 409.1386
you , y , 131 , 1441356165002 , 491.9421 , 397.8002
you , y , 131 , 1441356165036 , 487.1873 , 401.6418
you , y , 131 , 1441356165069 , 492.7911 , 393.7391
where , e , 129 , 1441356165102 , 437.2263 , 396.3342
where , r , 128 , 1441356165136 , 389.0698 , 393.5634
appearing , g , 123 , 1441356165169 , 248.0866 , 379.311
appearing , g , 123 , 1441356165202 , 237.6176 , 367.2827
your , r , 46 , 1441356165568 , 242.648 , 192.0401
using , g , 87 , 1441356165602 , 254.6618 , 223.3126
using , g , 87 , 1441356165635 , 255.4984 , 221.4037
using , g , 87 , 1441356165668 , 251.1619 , 231.0481
using , g , 87 , 1441356165702 , 251.744 , 240.013
