the , e , 59 , 1441355058129 , 646.692 , 138.0564
the , h , 58 , 1441355058158 , 589.5786 , 218.869
dot , o , 109 , 1441355058191 , 908.5532 , 281.2648
Test , T , 0 , 1441355058791 , -131645.5938 , -53275.3008
Test , T , 0 , 1441355059024 , 0.0 , 0.0
Test , T , 0 , 1441355059057 , 0.0 , 0.0
Test , T , 0 , 1441355059091 , 0.0 , 0.0
Test , T , 0 , 1441355059157 , 11095.4697 , -793663.25
Test , T , 0 , 1441355059190 , 0.0 , 0.0
Test , T , 0 , 1441355059224 , 93772.7891 , -486071.7188
Test , T , 0 , 1441355059257 , 122315.2813 , -847057.5625
Test , T , 0 , 1441355059291 , 103760.5859 , -974941.1875
Test , T , 0 , 1441355059357 , 0.0 , 0.0
Test , T , 0 , 1441355059390 , -1488395.875 , -5916321.5
Test , T , 0 , 1441355059424 , -616676.75 , -2901982.5
Test , T , 0 , 1441355059457 , -412450.75 , -1926922.75
Test , T , 0 , 1441355059490 , -306432.6563 , -1433319.75
Test , T , 0 , 1441355059523 , 0.0 , 0.0
Test , T , 0 , 1441355059557 , 0.0 , 0.0
Test , T , 0 , 1441355059590 , -242527.6406 , -1135623.25
