appearing , i , 121 , 1441355177629 , 192.5116 , 141.5361
appearing , i , 121 , 1441355177662 , 195.87 , 126.3727
appearing , i , 121 , 1441355177695 , 192.3371 , 131.2546
appearing , n , 122 , 1441355177729 , 223.1528 , 142.4793
appearing , i , 121 , 1441355177762 , 187.1368 , 169.9914
appearing , i , 121 , 1441355177795 , 182.6467 , 183.5605
appearing , i , 121 , 1441355177829 , 176.6914 , 172.7636
appearing , i , 121 , 1441355177862 , 176.381 , 173.8611
appearing , i , 121 , 1441355177895 , 179.9297 , 164.7598
appearing , r , 120 , 1441355177929 , 167.5311 , 154.9746
appearing , r , 120 , 1441355177962 , 160.7904 , 149.1564
appearing , r , 120 , 1441355177995 , 153.5847 , 146.9623
appearing , r , 120 , 1441355178028 , 149.7519 , 144.1007
appearing , r , 120 , 1441355178062 , 149.7099 , 137.5678
appearing , r , 120 , 1441355178095 , 149.4727 , 133.1537
appearing , r , 120 , 1441355178128 , 150.9159 , 123.9425
appearing , r , 120 , 1441355178162 , 151.5665 , 121.3635
appearing , r , 120 , 1441355178195 , 154.1707 , 117.9443
appearing , r , 120 , 1441355178228 , 155.0742 , 114.4462
appearing , r , 120 , 1441355178262 , 154.4337 , 110.7575
appearing , r , 120 , 1441355178295 , 153.4863 , 109.2491
appearing , r , 120 , 1441355178328 , 156.7581 , 104.7727
appearing , r , 120 , 1441355178361 , 157.8595 , 104.4194
appearing , r , 120 , 1441355178395 , 157.1375 , 104.1025
appearing , r , 120 , 1441355178428 , 156.9548 , 103.0092
appearing , r , 120 , 1441355178461 , 156.032 , 102.7539
appearing , r , 120 , 1441355178495 , 153.8941 , 102.1529
appearing , r , 120 , 1441355178528 , 151.7767 , 100.3616
appearing , r , 120 , 1441355178561 , 150.74 , 101.7466
appearing , r , 120 , 1441355178595 , 151.3019 , 97.3472
appearing , r , 120 , 1441355178628 , 148.5396 , 94.5669
appearing , r , 120 , 1441355178662 , 144.7414 , 94.1236
appearing , r , 120 , 1441355178695 , 146.0098 , 89.1013
Trial , T , 5 , 1441355178728 , 144.8461 , 86.7593
Trial , T , 5 , 1441355178761 , 143.3016 , 85.1045
Trial , T , 5 , 1441355178794 , 138.7545 , 84.8698
Trial , T , 5 , 1441355178828 , 139.2475 , 81.2315
Test , T , 0 , 1441355179227 , 89.4308 , -37.4212
Test , t , 3 , 1441355179261 , 96.5412 , 28.7207
Test , t , 3 , 1441355179294 , 93.8659 , 40.5089
Test , t , 3 , 1441355179327 , 88.8944 , 44.3957
Test , t , 3 , 1441355179361 , 92.163 , 37.0706
Test , t , 3 , 1441355179394 , 92.3825 , 37.457
Test , t , 3 , 1441355179427 , 98.7353 , 24.296
Test , t , 3 , 1441355179461 , 99.165 , 18.9678
Test , T , 0 , 1441355179494 , 108.5073 , 6.8418
Test , T , 0 , 1441355179527 , 109.9242 , 3.2599
Test , T , 0 , 1441355179560 , 111.0354 , 0.8792
Test , T , 0 , 1441355179594 , 115.473 , -2.788
Test , T , 0 , 1441355179627 , 116.6175 , -4.6082
Test , T , 0 , 1441355179660 , 120.408 , -9.8263
Test , T , 0 , 1441355179694 , 116.5018 , -7.9124
Test , T , 0 , 1441355179727 , 115.1015 , -6.919
Test , T , 0 , 1441355179760 , 116.6471 , -11.9809
Test , T , 0 , 1441355179794 , 121.2969 , -15.264
Test , T , 0 , 1441355179827 , 122.7447 , -19.6723
Test , T , 0 , 1441355179860 , 193.66 , -93.0563
Test , T , 0 , 1441355179894 , 196.0501 , -143.8804
Test , T , 0 , 1441355179927 , 194.9595 , -119.9507
Test , T , 0 , 1441355179960 , 172.7556 , -100.1466
