move , m , 38 , 1441355335835 , -118.5824 , 96.4543
move , m , 38 , 1441355335868 , -120.9657 , 102.5551
move , m , 38 , 1441355335902 , -123.9154 , 100.4927
move , m , 38 , 1441355335935 , -124.6449 , 98.9736
move , m , 38 , 1441355335968 , -123.4027 , 99.5797
move , m , 38 , 1441355336002 , -125.4048 , 101.5789
move , m , 38 , 1441355336035 , -125.9378 , 102.1237
move , m , 38 , 1441355336068 , -124.7702 , 102.2987
move , m , 38 , 1441355336101 , -121.6654 , 102.504
are , e , 81 , 1441355336135 , 50.7491 , 313.2575
appearing , p , 116 , 1441355336168 , 43.5497 , 324.5436
appearing , p , 116 , 1441355336201 , 40.3964 , 332.7135
appearing , p , 116 , 1441355336235 , 33.5182 , 338.1251
appearing , p , 116 , 1441355336268 , 34.1068 , 325.5625
appearing , p , 116 , 1441355336301 , 39.8365 , 319.7819
appearing , p , 116 , 1441355336335 , 40.4377 , 318.9901
are , a , 79 , 1441355336368 , -232.3721 , 244.5893
move , m , 38 , 1441355336401 , -405.6369 , 172.5623
move , m , 38 , 1441355336434 , -406.7839 , 189.4519
move , m , 38 , 1441355336468 , -409.8647 , 202.4204
are , a , 79 , 1441355336501 , -408.7843 , 206.4063
are , a , 79 , 1441355336534 , -417.4648 , 212.8126
are , a , 79 , 1441355336568 , -465.1305 , 262.9147
are , a , 79 , 1441355336601 , -452.6575 , 255.9784
are , a , 79 , 1441355336634 , -437.0947 , 282.5815
are , a , 79 , 1441355336668 , -318.7424 , 309.1975
appearing , a , 115 , 1441355336701 , -214.7587 , 331.4406
appearing , a , 115 , 1441355336734 , -149.4453 , 351.2524
appearing , p , 117 , 1441355336767 , 75.9025 , 432.5927
appearing , e , 118 , 1441355336801 , 105.9756 , 397.6879
appearing , e , 118 , 1441355336834 , 95.5775 , 406.9571
appearing , e , 118 , 1441355336867 , 84.4447 , 422.8362
appearing , e , 118 , 1441355336901 , 87.1567 , 428.8555
appearing , e , 118 , 1441355336934 , 85.5675 , 428.5335
appearing , e , 118 , 1441355336967 , 89.3166 , 440.6317
appearing , e , 118 , 1441355337001 , 94.6204 , 449.8093
appearing , e , 118 , 1441355337034 , 97.6607 , 455.7037
appearing , e , 118 , 1441355337067 , 100.0094 , 462.0125
appearing , e , 118 , 1441355337101 , 102.6488 , 468.2103
appearing , e , 118 , 1441355337134 , 103.971 , 473.1564
