one , n , 90 , 1441355480624 , 329.2448 , 278.7403
one , o , 89 , 1441355481119 , 288.8912 , 255.7435
one , o , 89 , 1441355481152 , 291.4709 , 256.3457
one , o , 89 , 1441355481185 , 295.8617 , 258.2291
until , u , 94 , 1441355504966 , 466.388 , 367.1321
appearing , g , 123 , 1441355504999 , 236.4106 , 413.9675
appearing , g , 123 , 1441355505033 , 237.7902 , 430.0947
appearing , n , 122 , 1441355505066 , 221.7341 , 432.7929
appearing , n , 122 , 1441355505099 , 214.5434 , 424.6217
appearing , n , 122 , 1441355505132 , 214.2806 , 426.3794
appearing , g , 123 , 1441355505166 , 246.5309 , 405.6973
appearing , g , 123 , 1441355505199 , 248.4615 , 423.6531
appearing , g , 123 , 1441355505232 , 242.3337 , 406.9282
appearing , g , 123 , 1441355505266 , 241.6463 , 404.3326
appearing , g , 123 , 1441355505299 , 236.4816 , 411.3687
appearing , g , 123 , 1441355505332 , 232.7441 , 411.0117
appearing , g , 123 , 1441355505366 , 235.1988 , 404.1551
appearing , g , 123 , 1441355505399 , 232.6703 , 406.0685
appearing , g , 123 , 1441355505432 , 232.9117 , 403.481
appearing , g , 123 , 1441355505466 , 236.2812 , 405.8388
appearing , g , 123 , 1441355505499 , 237.8024 , 412.4926
appearing , g , 123 , 1441355505532 , 240.4629 , 410.5437
appearing , g , 123 , 1441355505565 , 241.0587 , 409.7913
appearing , g , 123 , 1441355505599 , 242.3414 , 409.5351
appearing , g , 123 , 1441355505632 , 244.4381 , 409.9639
the , h , 58 , 1441355507564 , 612.4349 , 233.8835
the , t , 100 , 1441355507597 , 619.9545 , 209.0751
the , h , 58 , 1441355507630 , 617.5172 , 231.3807
the , t , 100 , 1441355507664 , 622.0388 , 232.6392
the , t , 100 , 1441355507697 , 634.9559 , 229.6927
the , t , 100 , 1441355507730 , 638.3663 , 237.7517
the , t , 100 , 1441355507764 , 635.8793 , 232.4183
the , t , 100 , 1441355507797 , 633.4338 , 235.6428
the , t , 100 , 1441355507830 , 632.7785 , 239.89
the , t , 100 , 1441355507863 , 631.6207 , 242.3675
the , t , 100 , 1441355507897 , 632.7792 , 238.4656
the , t , 100 , 1441355507930 , 632.1721 , 239.2359
the , t , 100 , 1441355507963 , 632.2349 , 237.5801
the , t , 100 , 1441355507997 , 632.1164 , 238.9495
the , t , 100 , 1441355508030 , 632.4976 , 241.013
the , t , 100 , 1441355508063 , 634.8152 , 242.4824
the , t , 100 , 1441355508097 , 634.1306 , 243.0568
the , t , 100 , 1441355508130 , 636.0792 , 250.3508
the , t , 100 , 1441355508196 , 639.6516 , 303.8293
