where , e , 127 , 1441355678993 , 377.7906 , 467.3114
where , e , 127 , 1441355679026 , 370.6487 , 419.1022
where , e , 127 , 1441355679059 , 359.0468 , 442.7518
where , e , 127 , 1441355679093 , 355.0714 , 446.4676
where , h , 126 , 1441355679126 , 344.0564 , 451.8176
where , h , 126 , 1441355679159 , 344.4805 , 447.8277
where , h , 126 , 1441355679193 , 341.7663 , 450.3843
where , h , 126 , 1441355679226 , 338.5785 , 446.1509
where , h , 126 , 1441355679259 , 336.4496 , 451.5942
where , h , 126 , 1441355679293 , 336.4936 , 453.63
where , h , 126 , 1441355679326 , 340.8891 , 454.2574
where , h , 126 , 1441355679359 , 340.2607 , 464.36
where , h , 126 , 1441355679392 , 344.3487 , 470.1202
where , h , 126 , 1441355679426 , 344.3015 , 475.6817
where , h , 126 , 1441355679459 , 343.4288 , 477.22
where , h , 126 , 1441355679492 , 346.509 , 477.8874
where , h , 126 , 1441355679526 , 347.5168 , 477.8707
Test , T , 0 , 1441355684388 , 0.0 , 0.0
Test , T , 0 , 1441355684421 , 0.0 , 0.0
Test , T , 0 , 1441355684455 , 0.0 , 0.0
Test , T , 0 , 1441355684488 , 0.0 , 0.0
Test , T , 0 , 1441355684521 , 0.0 , 0.0
Test , T , 0 , 1441355684555 , 0.0 , 0.0
Test , T , 0 , 1441355684588 , 0.0 , 0.0
Test , T , 0 , 1441355684621 , 0.0 , 0.0
Test , T , 0 , 1441355684655 , 0.0 , 0.0
Test , T , 0 , 1441355684688 , 0.0 , 0.0
Test , T , 0 , 1441355684721 , 0.0 , 0.0
Test , T , 0 , 1441355684754 , 0.0 , 0.0
Test , T , 0 , 1441355684788 , 0.0 , 0.0
Test , T , 0 , 1441355684821 , 0.0 , 0.0
Test , T , 0 , 1441355685787 , 0.0 , 0.0
Test , T , 0 , 1441355685820 , 0.0 , 0.0
Test , T , 0 , 1441355685854 , 0.0 , 0.0
Test , T , 0 , 1441355685887 , 0.0 , 0.0
Test , T , 0 , 1441355685920 , 0.0 , 0.0
Test , T , 0 , 1441355686386 , 0.0 , 0.0
Test , T , 0 , 1441355686420 , 0.0 , 0.0
Test , T , 0 , 1441355686453 , 0.0 , 0.0
Test , T , 0 , 1441355686486 , 0.0 , 0.0
Test , T , 0 , 1441355686520 , 0.0 , 0.0
Test , T , 0 , 1441355686553 , 0.0 , 0.0
Test , T , 0 , 1441355686586 , 0.0 , 0.0
Test , T , 0 , 1441355686620 , 0.0 , 0.0
Test , T , 0 , 1441355686653 , 0.0 , 0.0
Test , T , 0 , 1441355686686 , 0.0 , 0.0
Test , T , 0 , 1441355686719 , 0.0 , 0.0
Test , T , 0 , 1441355686753 , 0.0 , 0.0
Test , T , 0 , 1441355686786 , 0.0 , 0.0
Test , T , 0 , 1441355686819 , 0.0 , 0.0
Test , T , 0 , 1441355686853 , 0.0 , 0.0
Test , T , 0 , 1441355686886 , 0.0 , 0.0
Test , T , 0 , 1441355686919 , 0.0 , 0.0
Test , T , 0 , 1441355686953 , 0.0 , 0.0
Test , T , 0 , 1441355686986 , 0.0 , 0.0
Test , T , 0 , 1441355687019 , 0.0 , 0.0
Test , T , 0 , 1441355687053 , 0.0 , 0.0
Test , T , 0 , 1441355687086 , 0.0 , 0.0
Test , T , 0 , 1441355687119 , 0.0 , 0.0
Test , T , 0 , 1441355687152 , 0.0 , 0.0
Test , T , 0 , 1441355687186 , 0.0 , 0.0
Test , T , 0 , 1441355687219 , 0.0 , 0.0
Test , T , 0 , 1441355687252 , 0.0 , 0.0
Test , T , 0 , 1441355687286 , 0.0 , 0.0
Test , T , 0 , 1441355687319 , 0.0 , 0.0
Test , T , 0 , 1441355687352 , 0.0 , 0.0
Test , T , 0 , 1441355687386 , 0.0 , 0.0
Test , T , 0 , 1441355687419 , 0.0 , 0.0
Test , T , 0 , 1441355687452 , 0.0 , 0.0
Test , T , 0 , 1441355687485 , 0.0 , 0.0
