outrageous , r , 115 , 1418229767606 , 682.8156 , 232.4471
outrageous , a , 116 , 1418229767643 , 685.2138 , 231.4456
outrageous , a , 116 , 1418229767679 , 684.3527 , 230.1195
outrageous , a , 116 , 1418229767714 , 685.7805 , 230.227
outrageous , a , 116 , 1418229767749 , 684.4788 , 230.6857
outrageous , a , 116 , 1418229767783 , 684.9291 , 230.7702
outrageous , a , 116 , 1418229767829 , 684.3318 , 232.2932
outrageous , r , 115 , 1418229767865 , 683.7981 , 232.5844
outrageous , r , 115 , 1418229767901 , 683.2531 , 232.6648
Arrows , s , 107 , 1418229767936 , 478.0568 , 216.1905
Nobler , r , 62 , 1418229767970 , 426.6077 , 189.246
Nobler , r , 62 , 1418229768007 , 427.0731 , 191.0125
Nobler , r , 62 , 1418229768051 , 424.5364 , 190.2041
Nobler , r , 62 , 1418229768086 , 425.0004 , 191.491
in , i , 64 , 1418229768121 , 480.3324 , 195.9596
outrageous , a , 116 , 1418229768156 , 694.023 , 218.7617
outrageous , g , 117 , 1418229768190 , 710.7899 , 219.1916
outrageous , g , 117 , 1418229768235 , 709.0897 , 218.9195
outrageous , a , 116 , 1418229768270 , 705.4766 , 221.2235
outrageous , a , 116 , 1418229768304 , 697.0056 , 215.75
to , t , 16 , 1418229768384 , 351.1782 , 112.704
Nobler , o , 58 , 1418229768454 , 346.4438 , 116.7257
not , t , 14 , 1418229768488 , 310.9744 , 107.0833
not , n , 12 , 1418229768523 , 270.1732 , 93.3974
or , r , 10 , 1418229768637 , 223.3344 , 77.5686
or , r , 10 , 1418229768671 , 216.1644 , 74.2348
To , o , 3 , 1418229768718 , 37.7309 , 69.6367
To , o , 3 , 1418229768752 , 47.0906 , 67.476
To , o , 3 , 1418229768787 , 42.446 , 64.1131
To , o , 3 , 1418229768822 , 43.593 , 63.806
To , o , 3 , 1418229768858 , 45.3689 , 64.3109
To , o , 3 , 1418229768903 , 46.0089 , 64.0919
To , o , 3 , 1418229768938 , 46.0367 , 62.9785
To , o , 3 , 1418229768972 , 45.5566 , 63.5834
To , o , 3 , 1418229769007 , 47.073 , 63.3116
To , o , 3 , 1418229769042 , 45.6724 , 63.7821
To , o , 3 , 1418229769077 , 45.2123 , 65.0322
To , o , 3 , 1418229769123 , 46.4626 , 64.5992
To , o , 3 , 1418229769157 , 46.8578 , 64.4973
To , o , 3 , 1418229769191 , 46.7999 , 64.4708
To , o , 3 , 1418229769226 , 46.9946 , 64.038
To , o , 3 , 1418229769272 , 47.9536 , 64.1427
To , o , 3 , 1418229769306 , 47.5961 , 64.0923
To , o , 3 , 1418229769342 , 51.2587 , 63.3955
To , o , 3 , 1418229769377 , 55.2333 , 63.3867
To , o , 3 , 1418229769411 , 58.5835 , 62.8039
not , n , 12 , 1418229769745 , 256.4148 , 66.4822
not , n , 12 , 1418229769791 , 263.8541 , 67.1949
not , n , 12 , 1418229769826 , 270.2039 , 68.652
not , n , 12 , 1418229769861 , 275.2045 , 67.9418
not , o , 13 , 1418229769897 , 278.087 , 67.4089
not , o , 13 , 1418229769931 , 280.2803 , 67.1536
not , o , 13 , 1418229769966 , 291.0126 , 66.9882
not , t , 14 , 1418229770012 , 301.166 , 66.4803
not , t , 14 , 1418229770047 , 309.8049 , 67.2524
not , t , 14 , 1418229770082 , 316.6653 , 66.7461
not , t , 14 , 1418229770117 , 323.127 , 66.8379
to , t , 16 , 1418229770303 , 351.3711 , 65.3485
to , o , 24 , 1418229770374 , 560.5493 , 56.7811
to , o , 24 , 1418229770420 , 561.7834 , 60.2813
to , o , 24 , 1418229770456 , 561.9187 , 63.6708
to , o , 24 , 1418229770490 , 559.4687 , 63.5522
to , o , 24 , 1418229770524 , 557.7311 , 63.3574
to , o , 24 , 1418229770558 , 556.6027 , 64.093
to , o , 24 , 1418229770605 , 556.2655 , 64.0768
to , o , 24 , 1418229770638 , 556.7607 , 64.3887
to , o , 24 , 1418229770673 , 557.0008 , 64.7906
to , o , 24 , 1418229770708 , 556.801 , 64.5502
is , i , 26 , 1418229770822 , 592.1943 , 63.3677
is , i , 26 , 1418229770857 , 601.5619 , 63.2637
is , i , 26 , 1418229770893 , 610.2075 , 62.069
is , s , 27 , 1418229770938 , 619.1082 , 61.485
question , s , 36 , 1418229770973 , 836.0597 , 65.0023
question , s , 36 , 1418229771008 , 828.2947 , 58.8812
question , e , 35 , 1418229771043 , 824.03 , 65.1648
question , s , 36 , 1418229771078 , 829.7661 , 62.9231
question , s , 36 , 1418229771123 , 829.5975 , 62.808
question , e , 35 , 1418229771158 , 827.8016 , 60.4587
question , e , 35 , 1418229771193 , 826.8985 , 59.9028
question , e , 35 , 1418229771228 , 826.6131 , 61.183
question , e , 35 , 1418229771263 , 827.175 , 61.8651
question , s , 36 , 1418229771298 , 842.65 , 61.5998
question , t , 37 , 1418229771342 , 854.5616 , 60.8872
question , t , 37 , 1418229771377 , 865.4425 , 60.5423
question , t , 37 , 1418229771411 , 874.5598 , 60.2425
question , i , 38 , 1418229771447 , 882.7949 , 60.0811
to , t , 23 , 1418229771493 , 519.8926 , 83.6705
Whether , e , 46 , 1418229771527 , 39.2308 , 127.717
Whether , e , 46 , 1418229771561 , 55.4423 , 134.6511
Whether , t , 47 , 1418229771595 , 61.2452 , 136.6773
Whether , t , 47 , 1418229771631 , 65.052 , 139.6392
Whether , t , 47 , 1418229771676 , 66.3725 , 141.228
Whether , W , 44 , 1418229771711 , 4.2238 , 158.3763
Whether , W , 44 , 1418229771746 , 3.4909 , 155.6422
Whether , W , 44 , 1418229771780 , -0.8321 , 157.5482
Whether , W , 44 , 1418229771825 , 0.5461 , 157.9338
Whether , W , 44 , 1418229771861 , 1.1303 , 158.1579
Whether , W , 44 , 1418229771896 , 1.9467 , 157.7975
Whether , W , 44 , 1418229771931 , 2.4354 , 157.3683
Whether , W , 44 , 1418229771966 , 4.1426 , 157.5073
Whether , W , 44 , 1418229772001 , 6.6281 , 157.8368
tis , t , 53 , 1418229772047 , 219.9086 , 141.4852
tis , t , 53 , 1418229772081 , 208.5466 , 137.3079
