to , t , 16 , 1417467147194 , 461.7013 , 107.536
to , t , 16 , 1417467147230 , 461.17 , 106.4266
to , t , 16 , 1417467147266 , 463.7212 , 102.5996
to , t , 16 , 1417467147301 , 462.8637 , 107.5855
to , t , 16 , 1417467147337 , 459.7078 , 113.8773
to , t , 16 , 1417467147373 , 457.7189 , 116.086
to , t , 16 , 1417467147418 , 456.6132 , 115.7006
to , t , 16 , 1417467147452 , 454.674 , 114.9316
to , t , 16 , 1417467147487 , 452.102 , 118.3049
to , t , 16 , 1417467147522 , 452.0251 , 118.4622
to , t , 16 , 1417467147557 , 452.1715 , 119.7084
to , t , 16 , 1417467147605 , 448.1471 , 122.573
to , t , 16 , 1417467147640 , 445.1922 , 124.0184
to , t , 16 , 1417467147675 , 443.9185 , 129.0213
Arrows , w , 108 , 1417467147825 , 567.3149 , 269.1001
in , i , 66 , 1417467147860 , 591.9448 , 248.9558
Nobler , l , 62 , 1417467147895 , 467.7406 , 182.7198
tis , s , 57 , 1417467147931 , 339.4587 , 157.5383
or , r , 10 , 1417467147967 , 269.8025 , 147.2951
or , o , 9 , 1417467148001 , 227.9368 , 150.9145
To , o , 3 , 1417467148047 , 50.7508 , 135.9085
To , T , 2 , 1417467148082 , 28.1908 , 123.9226
To , T , 2 , 1417467148118 , 38.5691 , 135.7141
To , T , 2 , 1417467148153 , 37.9257 , 129.6155
To , T , 2 , 1417467148188 , 23.7006 , 119.9468
To , T , 2 , 1417467148222 , 15.7636 , 123.9021
or , o , 9 , 1417467148523 , 245.6124 , 58.3528
or , o , 9 , 1417467148892 , 231.0921 , 81.5798
or , o , 9 , 1417467148927 , 237.0608 , 82.18
or , o , 9 , 1417467148972 , 242.6949 , 82.6984
or , o , 9 , 1417467149006 , 249.7416 , 81.5463
be , b , 19 , 1417467149041 , 545.1525 , 109.2842
be , b , 19 , 1417467149075 , 525.2856 , 93.8126
be , b , 19 , 1417467149121 , 525.9203 , 102.5592
be , b , 19 , 1417467149156 , 533.2014 , 95.2587
be , b , 19 , 1417467149191 , 537.2112 , 88.9573
be , b , 19 , 1417467149225 , 541.2091 , 82.5284
be , b , 19 , 1417467149260 , 543.9032 , 74.7062
be , b , 19 , 1417467149305 , 543.7321 , 76.1793
be , b , 19 , 1417467149339 , 542.3993 , 72.7743
name , i , 26 , 1417467149408 , 759.7531 , 28.9264
is , s , 27 , 1417467149453 , 772.6876 , 47.2236
is , s , 27 , 1417467149489 , 773.8072 , 33.8748
is , i , 26 , 1417467149524 , 763.77 , 40.2709
is , s , 27 , 1417467149558 , 768.9506 , 40.9327
is , s , 27 , 1417467149593 , 766.6271 , 47.7884
is , s , 27 , 1417467149637 , 788.8028 , 49.7805
the , t , 29 , 1417467149742 , 829.4891 , 46.0452
the , t , 29 , 1417467149787 , 842.3136 , 45.776
the , t , 29 , 1417467149822 , 851.9805 , 46.2754
the , h , 30 , 1417467149858 , 856.7686 , 46.8863
the , h , 30 , 1417467149893 , 862.2047 , 43.7858
the , h , 30 , 1417467149928 , 863.5494 , 44.9627
the , h , 30 , 1417467149964 , 867.5463 , 50.4255
question , s , 36 , 1417467150010 , 1058.7578 , 32.6989
question , i , 38 , 1417467150045 , 1097.9592 , 63.6367
question , t , 37 , 1417467150079 , 1091.942 , 46.7342
question , t , 37 , 1417467150114 , 1093.2927 , 52.7604
question , t , 37 , 1417467150148 , 1088.7791 , 58.8779
question , t , 37 , 1417467150193 , 1092.024 , 54.4954
question , t , 37 , 1417467150227 , 1091.2477 , 58.3136
question , t , 37 , 1417467150263 , 1094.4009 , 59.2597
question , i , 38 , 1417467150299 , 1104.1932 , 61.4047
question , i , 38 , 1417467150335 , 1116.2791 , 57.1995
question , o , 39 , 1417467150380 , 1125.5509 , 56.0714
question , o , 39 , 1417467150416 , 1135.3157 , 48.1648
question , o , 39 , 1417467150451 , 1140.9139 , 48.3619
question , o , 39 , 1417467150485 , 1143.4417 , 48.077
question , o , 39 , 1417467150519 , 1133.5439 , 49.9785
to , t , 16 , 1417467150555 , 446.6461 , 90.558
Whether , e , 51 , 1417467150600 , 149.7538 , 200.787
Whether , e , 51 , 1417467150635 , 141.2366 , 197.7094
Whether , h , 50 , 1417467150669 , 130.1102 , 196.5416
Whether , h , 50 , 1417467150705 , 126.2355 , 196.5138
Whether , h , 50 , 1417467150740 , 112.4473 , 201.036
Whether , W , 46 , 1417467150786 , 9.5712 , 214.2735
Whether , W , 46 , 1417467150821 , 5.0968 , 214.7905
Whether , W , 46 , 1417467150856 , 7.1945 , 241.7676
Whether , W , 46 , 1417467150892 , 10.2074 , 239.8605
Whether , W , 46 , 1417467150926 , 13.5987 , 243.1149
Whether , h , 47 , 1417467150971 , 44.5667 , 230.7272
Whether , e , 48 , 1417467151006 , 57.2613 , 235.4767
Whether , e , 48 , 1417467151042 , 71.3441 , 240.0168
Whether , t , 49 , 1417467151077 , 81.0681 , 237.1482
tis , s , 57 , 1417467151112 , 324.1281 , 178.0984
tis , i , 56 , 1417467151158 , 300.4105 , 172.0363
tis , i , 56 , 1417467151193 , 310.5357 , 164.2629
tis , s , 57 , 1417467151229 , 318.3874 , 182.2445
tis , i , 56 , 1417467151264 , 314.6098 , 194.6525
tis , i , 56 , 1417467151298 , 311.1003 , 200.8506
tis , i , 56 , 1417467151333 , 307.8474 , 204.0056
tis , i , 56 , 1417467151378 , 307.9505 , 205.04
tis , i , 56 , 1417467151412 , 313.7583 , 204.3138
Nobler , l , 62 , 1417467151447 , 477.8613 , 160.6586
Nobler , e , 63 , 1417467151481 , 507.1082 , 179.8559
Nobler , e , 63 , 1417467151517 , 496.4757 , 206.7061
Nobler , e , 63 , 1417467151562 , 496.7092 , 212.7264
Nobler , e , 63 , 1417467151596 , 501.8524 , 209.972
Nobler , e , 63 , 1417467151629 , 500.1869 , 203.5302
name , o , 24 , 1417467151709 , 686.9501 , 152.7408
mind , i , 72 , 1417467152000 , 831.1364 , 176.9872
mind , n , 73 , 1417467152046 , 863.8124 , 178.3678
mind , i , 72 , 1417467152081 , 842.5342 , 164.3669
mind , i , 72 , 1417467152116 , 837.5965 , 157.6526
mind , i , 72 , 1417467152150 , 842.889 , 157.3893
mind , i , 72 , 1417467152186 , 842.6321 , 157.8743
mind , i , 72 , 1417467152221 , 843.6685 , 158.0298
the , h , 30 , 1417467152267 , 855.1679 , 151.788
suffer , r , 84 , 1417467152553 , 1203.2367 , 219.9086
suffer , r , 84 , 1417467152635 , 1213.3276 , 175.9718
suffer , r , 84 , 1417467152671 , 1206.5078 , 175.0249
suffer , r , 84 , 1417467152705 , 1192.7815 , 172.8082
suffer , r , 84 , 1417467152740 , 1198.6265 , 174.4472
suffer , r , 84 , 1417467152775 , 1197.9133 , 171.0425
suffer , r , 84 , 1417467152821 , 1197.5638 , 173.0605
mind , d , 74 , 1417467152856 , 887.3065 , 228.4999
Slings , i , 93 , 1417467152892 , 175.8859 , 277.3262
Slings , S , 91 , 1417467152927 , 125.1769 , 301.4561
The , h , 88 , 1417467153078 , 40.1946 , 310.5387
The , e , 89 , 1417467153112 , 68.2954 , 355.6019
The , h , 88 , 1417467153147 , 39.5996 , 373.2774
Slings , s , 96 , 1417467153296 , 262.4317 , 342.4679
Slings , g , 95 , 1417467153331 , 254.3959 , 317.7054
Slings , g , 95 , 1417467153376 , 239.4016 , 327.7286
Slings , g , 95 , 1417467153410 , 238.7737 , 326.6729
Slings , g , 95 , 1417467153444 , 246.0528 , 321.6323
Slings , s , 96 , 1417467153479 , 277.7218 , 314.6474
and , a , 98 , 1417467153593 , 325.2755 , 309.7718
and , a , 98 , 1417467153627 , 331.2858 , 311.3901
and , a , 98 , 1417467153672 , 339.7453 , 308.1929
and , n , 99 , 1417467153708 , 346.0203 , 310.6182
in , n , 65 , 1417467153743 , 621.4268 , 253.3702
in , n , 65 , 1417467153778 , 641.6553 , 261.3458
in , n , 65 , 1417467153813 , 632.2723 , 260.7423
of , o , 109 , 1417467153848 , 652.8046 , 256.7247
of , o , 109 , 1417467153893 , 650.2408 , 264.1978
of , o , 109 , 1417467153928 , 654.7803 , 266.2248
of , o , 109 , 1417467153963 , 655.0911 , 262.2908
of , o , 109 , 1417467153998 , 662.6979 , 259.835
the , t , 67 , 1417467154044 , 677.4527 , 265.8772
the , t , 67 , 1417467154079 , 690.1705 , 263.7429
the , t , 67 , 1417467154114 , 697.0361 , 261.1326
the , h , 68 , 1417467154150 , 706.3743 , 264.0479
the , h , 68 , 1417467154185 , 715.5872 , 265.2374
suffer , r , 84 , 1417467154218 , 1191.2317 , 226.4382
Fortune , t , 126 , 1417467154265 , 1183.5244 , 271.1685
suffer , e , 83 , 1417467154300 , 1179.838 , 266.0426
suffer , e , 83 , 1417467154334 , 1183.73 , 257.7272
suffer , e , 83 , 1417467154369 , 1178.9208 , 253.5189
suffer , e , 83 , 1417467154404 , 1182.5066 , 255.9478
suffer , r , 84 , 1417467154449 , 1187.6793 , 251.6051
suffer , r , 84 , 1417467154483 , 1188.5569 , 248.9858
suffer , r , 84 , 1417467154518 , 1187.2289 , 247.382
suffer , r , 84 , 1417467154552 , 1198.9637 , 246.8595
suffer , r , 84 , 1417467154597 , 1211.6954 , 249.3333
Fortune , n , 128 , 1417467154632 , 1219.8907 , 251.484
Fortune , n , 128 , 1417467154667 , 1227.2657 , 256.1755
Fortune , n , 128 , 1417467154702 , 1224.4453 , 258.8835
Arrows , o , 105 , 1417467154746 , 550.9016 , 337.9789
