Arrows , A , 102 , 1418229482955 , 348.6548 , 243.7745
Arrows , A , 102 , 1418229483002 , 363.9095 , 259.9204
Arrows , A , 102 , 1418229483028 , 354.4863 , 233.5342
Arrows , A , 102 , 1418229483067 , 359.8064 , 234.8931
Arrows , A , 102 , 1418229483103 , 368.6497 , 230.6275
Arrows , r , 103 , 1418229483137 , 395.1407 , 224.4614
the , e , 31 , 1418229483207 , 717.3943 , 55.8166
the , h , 30 , 1418229483252 , 687.7915 , 75.4522
the , h , 30 , 1418229483288 , 698.6756 , 56.9824
to , t , 23 , 1418229483359 , 529.6912 , 83.9716
be , e , 20 , 1418229483393 , 459.6251 , 90.6738
or , o , 9 , 1418229483474 , 190.1564 , 79.9951
or , o , 9 , 1418229483508 , 185.5071 , 85.1818
or , o , 9 , 1418229483542 , 201.7262 , 101.1947
tis , i , 54 , 1418229483577 , 248.4168 , 125.6194
tis , s , 55 , 1418229483623 , 268.2078 , 142.4446
or , o , 9 , 1418229485577 , 195.4984 , 36.3713
to , t , 23 , 1418229485612 , 525.0745 , 54.9751
to , o , 24 , 1418229485767 , 563.4759 , 44.8592
to , o , 24 , 1418229485804 , 558.0857 , 48.2031
to , o , 24 , 1418229485840 , 556.026 , 52.3578
to , o , 24 , 1418229485878 , 554.799 , 51.1373
is , i , 26 , 1418229486021 , 598.1151 , 63.9514
is , i , 26 , 1418229486056 , 605.5991 , 62.834
is , i , 26 , 1418229486101 , 611.8439 , 62.0443
is , s , 27 , 1418229486136 , 616.9928 , 60.2003
is , s , 27 , 1418229486170 , 620.6368 , 62.8165
is , s , 27 , 1418229486204 , 624.4049 , 63.4629
is , s , 27 , 1418229486249 , 633.7838 , 64.9694
ben , t , 29 , 1418229486397 , 665.6008 , 61.7325
the , t , 29 , 1418229486432 , 671.3369 , 61.6097
the , t , 29 , 1418229486466 , 675.3136 , 60.4899
the , t , 29 , 1418229486500 , 681.9657 , 59.2809
the , h , 30 , 1418229486546 , 687.2738 , 59.8069
the , h , 30 , 1418229486581 , 692.0897 , 62.8969
the , h , 30 , 1418229486616 , 696.1907 , 62.2292
the , h , 30 , 1418229486651 , 699.4872 , 65.1067
the , h , 30 , 1418229486685 , 700.744 , 66.1142
the , h , 30 , 1418229486721 , 704.4318 , 65.612
the , e , 31 , 1418229486766 , 708.9421 , 68.0274
the , e , 31 , 1418229486802 , 716.0198 , 93.0775
the , e , 31 , 1418229486836 , 719.5873 , 80.6349
the , e , 31 , 1418229486871 , 722.3131 , 67.8308
the , e , 31 , 1418229486916 , 721.907 , 65.1255
the , e , 31 , 1418229486951 , 722.5132 , 68.2926
the , e , 31 , 1418229486986 , 719.4155 , 72.6372
the , h , 30 , 1418229487021 , 697.3847 , 75.5896
the , t , 29 , 1418229487056 , 679.748 , 77.5858
the , t , 29 , 1418229487102 , 666.6782 , 85.2228
is , s , 27 , 1418229487474 , 635.3111 , 90.647
is , s , 27 , 1418229487513 , 628.892 , 92.6235
is , s , 27 , 1418229487542 , 626.5811 , 95.1028
is , s , 27 , 1418229487580 , 623.4835 , 96.6663
is , s , 27 , 1418229487616 , 620.2992 , 97.641
is , s , 27 , 1418229487654 , 619.1017 , 96.3906
is , s , 27 , 1418229487692 , 616.1282 , 94.6768
is , s , 27 , 1418229487729 , 613.551 , 94.5038
is , i , 26 , 1418229487765 , 610.6905 , 96.0742
is , i , 26 , 1418229487803 , 607.5267 , 98.6766
is , i , 26 , 1418229487840 , 605.0103 , 100.7514
is , i , 26 , 1418229487877 , 603.2165 , 99.2953
is , i , 26 , 1418229487912 , 601.532 , 100.2144
is , i , 26 , 1418229487948 , 599.0782 , 100.3683
is , i , 26 , 1418229487983 , 598.1381 , 99.9527
is , i , 26 , 1418229488019 , 596.0958 , 99.8767
is , i , 26 , 1418229488064 , 594.7675 , 100.3381
is , i , 26 , 1418229488100 , 594.1406 , 99.3596
is , i , 26 , 1418229488136 , 592.5265 , 101.44
is , i , 26 , 1418229488172 , 590.3104 , 102.4128
is , i , 26 , 1418229488209 , 589.4167 , 101.9979
is , i , 26 , 1418229488243 , 589.1672 , 100.7913
is , i , 26 , 1418229488394 , 590.2244 , 98.9755
is , i , 26 , 1418229488429 , 590.8947 , 98.4705
is , i , 26 , 1418229488464 , 592.2372 , 96.7875
