to , o , 249 , 1418329442240 , 630.7573 , 499.9144
to , o , 249 , 1418329442286 , 630.6098 , 498.328
to , o , 249 , 1418329442321 , 629.2917 , 498.8776
to , o , 249 , 1418329442363 , 631.042 , 498.1491
to , o , 249 , 1418329442389 , 631.8622 , 496.1466
to , o , 249 , 1418329442435 , 628.8991 , 494.9693
to , o , 249 , 1418329442469 , 629.2711 , 493.8004
to , o , 249 , 1418329442505 , 630.683 , 493.8134
to , o , 249 , 1418329442543 , 631.6954 , 492.9292
to , o , 249 , 1418329442579 , 620.5914 , 492.6212
against , i , 152 , 1418329442615 , 453.1604 , 389.0503
against , a , 151 , 1418329442650 , 431.0126 , 381.4639
end , n , 195 , 1418329442686 , 430.7236 , 397.4487
end , n , 195 , 1418329442721 , 432.2419 , 402.6794
end , n , 195 , 1418329442766 , 436.7783 , 406.7851
end , n , 195 , 1418329442801 , 434.1546 , 399.03
end , d , 196 , 1418329442836 , 451.2651 , 406.2864
end , d , 196 , 1418329442872 , 460.6846 , 408.9982
end , d , 196 , 1418329442907 , 455.4601 , 416.7319
Whether , r , 50 , 1418329442953 , 134.949 , 174.1783
take , k , 141 , 1418329442987 , 182.9884 , 313.2835
Slings , n , 94 , 1418329443022 , 175.7095 , 276.7526
Slings , n , 94 , 1418329443056 , 171.3271 , 261.4814
Slings , n , 94 , 1418329443101 , 167.7805 , 256.4258
Whether , r , 50 , 1418329443135 , 149.8805 , 206.8361
be , b , 5 , 1418329443241 , 89.081 , 49.8705
be , b , 5 , 1418329443276 , 85.7346 , 44.5549
be , b , 5 , 1418329443323 , 86.8446 , 52.3183
be , b , 5 , 1418329443359 , 100.8515 , 86.2614
Arms , m , 146 , 1418329443395 , 303.1437 , 306.062
Arms , s , 147 , 1418329443430 , 339.0034 , 374.4908
Arms , s , 147 , 1418329443467 , 339.7771 , 354.0814
Arms , s , 147 , 1418329443502 , 337.0219 , 348.227
Arms , s , 147 , 1418329443536 , 336.6591 , 347.0741
Arms , s , 147 , 1418329443581 , 337.556 , 341.0382
Arms , s , 147 , 1418329443616 , 332.7809 , 331.2112
end , d , 196 , 1418329443652 , 465.2294 , 459.5027
them , m , 201 , 1418329443688 , 583.8198 , 473.1937
them , h , 199 , 1418329443722 , 534.6675 , 466.0694
them , h , 199 , 1418329443767 , 530.8531 , 467.4444
them , e , 200 , 1418329443802 , 543.9659 , 464.8373
them , h , 199 , 1418329443837 , 534.8651 , 456.2864
them , e , 200 , 1418329443873 , 540.6672 , 456.9649
them , e , 200 , 1418329443907 , 540.8181 , 458.5173
them , e , 200 , 1418329443943 , 548.209 , 460.7608
a , a , 239 , 1418329443989 , 383.1643 , 527.7145
by , y , 237 , 1418329444059 , 340.9941 , 486.3187
by , y , 237 , 1418329444094 , 339.2979 , 488.549
by , y , 237 , 1418329444128 , 337.8063 , 486.6056
by , y , 237 , 1418329444173 , 328.4375 , 483.5368
opposing , g , 191 , 1418329444208 , 327.1556 , 481.584
them , t , 198 , 1418329444243 , 510.5698 , 472.3269
them , t , 198 , 1418329444278 , 509.1093 , 472.8844
them , t , 198 , 1418329444312 , 511.8768 , 478.4572
them , h , 199 , 1418329444357 , 522.687 , 479.6486
them , h , 199 , 1418329444393 , 519.0322 , 480.5363
end , d , 196 , 1418329444427 , 447.5249 , 476.9512
Slings , i , 93 , 1418329444463 , 154.5745 , 295.6021
Slings , l , 92 , 1418329444497 , 124.886 , 240.329
Slings , l , 92 , 1418329444543 , 130.3586 , 266.2195
be , b , 5 , 1418329444578 , 88.041 , 78.6984
by , y , 237 , 1418329445904 , 336.759 , 518.6183
a , a , 239 , 1418329445985 , 386.4693 , 497.611
end , e , 194 , 1418329446020 , 416.1293 , 482.06
end , n , 195 , 1418329446053 , 428.4938 , 481.8735
sleep , s , 241 , 1418329446098 , 442.504 , 484.7595
sleep , l , 242 , 1418329446132 , 444.7592 , 483.1082
end , d , 196 , 1418329446167 , 448.9242 , 482.1996
sleep , e , 243 , 1418329446202 , 473.5113 , 490.4706
sleep , e , 243 , 1418329446237 , 477.3579 , 502.5728
sleep , e , 243 , 1418329446282 , 483.2151 , 502.5959
sleep , s , 241 , 1418329446317 , 430.6258 , 507.1902
a , a , 239 , 1418329446387 , 383.4156 , 511.4627
by , y , 237 , 1418329446504 , 347.9828 , 510.8377
And , d , 179 , 1418329446572 , 42.628 , 451.528
And , d , 179 , 1418329446617 , 43.2531 , 448.1128
And , d , 179 , 1418329446652 , 41.0296 , 447.6286
And , d , 179 , 1418329446687 , 42.0756 , 448.2567
And , d , 179 , 1418329446721 , 39.3234 , 449.5044
And , d , 179 , 1418329446756 , 40.0033 , 443.5636
And , d , 179 , 1418329446800 , 39.0641 , 445.1476
And , d , 179 , 1418329446836 , 39.9595 , 444.538
And , d , 179 , 1418329446870 , 38.9248 , 446.0845
And , d , 179 , 1418329446905 , 38.4419 , 444.8474
And , d , 179 , 1418329446950 , 38.9558 , 442.2754
And , d , 179 , 1418329446984 , 38.7555 , 441.8868
And , d , 179 , 1418329447020 , 39.088 , 440.1376
And , d , 179 , 1418329447054 , 41.7437 , 440.187
And , d , 179 , 1418329447089 , 40.4562 , 440.4708
And , d , 179 , 1418329447134 , 40.1513 , 442.64
And , d , 179 , 1418329447168 , 44.1201 , 442.6329
And , d , 179 , 1418329447202 , 45.1552 , 443.3201
And , d , 179 , 1418329447236 , 46.9765 , 443.0246
And , d , 179 , 1418329447282 , 46.436 , 442.8142
And , d , 179 , 1418329447316 , 45.9326 , 442.5087
And , d , 179 , 1418329447351 , 48.3515 , 442.8552
And , d , 179 , 1418329447386 , 50.5443 , 440.991
And , d , 179 , 1418329447430 , 50.7141 , 441.3621
And , d , 179 , 1418329447465 , 51.285 , 440.8242
And , d , 179 , 1418329447501 , 51.6424 , 441.0687
And , d , 179 , 1418329447535 , 51.4513 , 441.4776
And , d , 179 , 1418329447570 , 49.2435 , 440.2757
And , d , 179 , 1418329447606 , 47.6189 , 441.3692
And , d , 179 , 1418329447652 , 47.2348 , 441.2847
And , d , 179 , 1418329447686 , 46.2508 , 442.0575
And , d , 179 , 1418329447720 , 45.91 , 442.5886
And , d , 179 , 1418329447755 , 45.7424 , 443.1214
And , d , 179 , 1418329447800 , 45.0097 , 443.8476
And , d , 179 , 1418329447834 , 44.1837 , 444.0681
And , d , 179 , 1418329447868 , 42.9733 , 444.975
And , d , 179 , 1418329447902 , 42.2168 , 445.0912
And , d , 179 , 1418329447947 , 42.0623 , 446.7665
And , d , 179 , 1418329447983 , 40.2544 , 446.6774
And , d , 179 , 1418329448018 , 40.1183 , 446.7027
And , d , 179 , 1418329448053 , 38.5919 , 445.2678
And , d , 179 , 1418329448087 , 39.5056 , 445.1156
And , d , 179 , 1418329448133 , 39.0948 , 444.7294
And , d , 179 , 1418329448169 , 37.3215 , 444.1608
we , e , 256 , 1418329448239 , 793.8369 , 494.771
we , e , 256 , 1418329448274 , 782.7239 , 500.2404
we , w , 255 , 1418329448318 , 778.6403 , 502.5186
we , w , 255 , 1418329448353 , 772.4315 , 504.8072
we , w , 255 , 1418329448401 , 774.907 , 503.8375
end , e , 194 , 1418329448463 , 415.1669 , 474.0619
sleep , s , 241 , 1418329448497 , 424.9163 , 489.5123
opposing , i , 189 , 1418329449125 , 278.6605 , 405.8997
opposing , i , 189 , 1418329449171 , 276.3683 , 433.275
opposing , i , 189 , 1418329449206 , 290.9355 , 428.7621
opposing , i , 189 , 1418329449242 , 296.5606 , 442.9984
opposing , n , 190 , 1418329449277 , 302.1511 , 444.3295
opposing , n , 190 , 1418329449311 , 306.1705 , 452.5139
opposing , n , 190 , 1418329449346 , 307.9156 , 451.1173
opposing , n , 190 , 1418329449391 , 311.6212 , 454.4694
opposing , n , 190 , 1418329449426 , 309.4669 , 457.0285
opposing , n , 190 , 1418329449460 , 311.1483 , 455.498
opposing , n , 190 , 1418329449493 , 304.6883 , 460.1758
opposing , i , 189 , 1418329449539 , 296.8521 , 465.0087
opposing , i , 189 , 1418329449573 , 287.9986 , 468.119
opposing , i , 189 , 1418329449607 , 280.2509 , 470.659
opposing , i , 189 , 1418329449642 , 286.7103 , 474.7094
troubles , t , 166 , 1418329450495 , 798.9219 , 338.6901
ben , b , 159 , 1418329450540 , 633.3732 , 322.9635
against , t , 155 , 1418329450575 , 532.4851 , 314.1194
Slings , i , 93 , 1418329450609 , 142.1973 , 259.4106
Whether , e , 49 , 1418329450643 , 126.5003 , 190.1583
