troubles , r , 167 , 1418351660284 , 808.9231 , 384.4247
of , f , 164 , 1418351660320 , 732.7018 , 358.757
Arrows , o , 105 , 1418351660364 , 429.1912 , 242.6417
Arrows , o , 105 , 1418351660399 , 420.4722 , 253.852
Arrows , o , 105 , 1418351660436 , 420.8268 , 242.0605
Arrows , o , 105 , 1418351660477 , 423.0331 , 240.6892
Arrows , o , 105 , 1418351660513 , 424.4646 , 240.2627
Arrows , o , 105 , 1418351660548 , 424.8543 , 239.333
Arrows , o , 105 , 1418351660584 , 424.4891 , 237.1288
Arrows , o , 105 , 1418351660621 , 431.9283 , 239.5776
outrageous , u , 113 , 1418351660657 , 626.2496 , 246.2679
outrageous , u , 113 , 1418351660694 , 619.832 , 272.8525
outrageous , u , 113 , 1418351660728 , 632.8702 , 260.255
outrageous , t , 114 , 1418351660763 , 644.7325 , 261.6815
outrageous , t , 114 , 1418351660809 , 645.7021 , 255.0206
outrageous , t , 114 , 1418351660844 , 644.0166 , 253.9484
outrageous , t , 114 , 1418351660879 , 643.81 , 250.0415
outrageous , e , 118 , 1418351661614 , 737.1304 , 284.856
outrageous , g , 117 , 1418351661649 , 728.8409 , 295.102
of , o , 163 , 1418351661695 , 731.3649 , 302.8486
of , o , 163 , 1418351661734 , 730.5272 , 299.2958
of , o , 163 , 1418351661770 , 726.7828 , 306.2915
outrageous , e , 118 , 1418351661805 , 733.0836 , 289.6702
outrageous , g , 117 , 1418351661841 , 723.1665 , 287.0697
patient , a , 135 , 1418351661912 , 710.5845 , 301.2533
patient , a , 135 , 1418351661946 , 711.6216 , 311.8922
patient , a , 135 , 1418351661992 , 711.5232 , 321.652
patient , a , 135 , 1418351662028 , 711.8456 , 325.9111
patient , a , 135 , 1418351662063 , 709.2186 , 320.7675
patient , a , 135 , 1418351662098 , 710.5455 , 318.4997
patient , a , 135 , 1418351662134 , 712.7857 , 320.4974
patient , a , 135 , 1418351662169 , 712.2968 , 314.7067
patient , a , 135 , 1418351662215 , 709.9645 , 312.8148
patient , a , 135 , 1418351662250 , 709.6162 , 312.8798
patient , a , 135 , 1418351662285 , 708.3928 , 311.1058
patient , p , 134 , 1418351662319 , 704.9771 , 308.9154
have , e , 60 , 1418351662360 , 502.0681 , 131.0904
me , m , 68 , 1418351662617 , 690.4799 , 121.0994
me , m , 68 , 1418351662687 , 692.3868 , 152.272
me , m , 68 , 1418351662733 , 689.2826 , 144.9373
me , m , 68 , 1418351662778 , 687.5248 , 144.4185
me , m , 68 , 1418351662917 , 686.6086 , 141.539
me , m , 68 , 1418351662951 , 688.8626 , 136.3102
have , v , 59 , 1418351663021 , 488.3481 , 150.033
rated , r , 62 , 1418351663509 , 544.2039 , 163.786
rated , r , 62 , 1418351663545 , 553.6042 , 164.5948
rated , r , 62 , 1418351663580 , 562.3521 , 163.2863
rated , a , 63 , 1418351663615 , 571.174 , 160.2802
Antonio , n , 13 , 1418351677977 , 298.711 , 52.9456
Antonio , i , 14 , 1418351678012 , 315.2948 , 62.685
Antonio , i , 14 , 1418351678047 , 321.9414 , 71.906
Antonio , i , 14 , 1418351678093 , 322.3751 , 67.0573
Antonio , i , 14 , 1418351678127 , 310.4117 , 65.12
Signior , n , 4 , 1418351679716 , 68.0767 , 52.5347
Signior , S , 1 , 1418351679751 , 7.0594 , 60.0045
Signior , S , 1 , 1418351679786 , -11.744 , 69.3384
Signior , S , 1 , 1418351679831 , -24.7431 , 79.3553
Signior , S , 1 , 1418351679864 , -46.23 , 93.1341
Signior , i , 5 , 1418351679898 , 94.1872 , 71.4814
Signior , i , 5 , 1418351679934 , 104.4108 , 76.6365
Signior , o , 6 , 1418351679979 , 111.6942 , 70.3896
Signior , o , 6 , 1418351680015 , 113.2229 , 70.7862
Signior , o , 6 , 1418351680051 , 117.5709 , 71.1411
Signior , o , 6 , 1418351680087 , 115.5717 , 70.4332
a , a , 23 , 1418351680203 , 527.0863 , 92.0454
a , a , 23 , 1418351680237 , 527.0475 , 94.0788
a , a , 23 , 1418351680272 , 523.8207 , 90.9027
a , a , 23 , 1418351680306 , 523.3494 , 89.2182
a , a , 23 , 1418351680351 , 518.6136 , 85.3146
a , a , 23 , 1418351680386 , 528.505 , 96.7124
a , a , 23 , 1418351680422 , 539.6158 , 92.7374
a , a , 23 , 1418351680458 , 535.2854 , 90.8275
a , a , 23 , 1418351680492 , 517.2278 , 89.9982
many , y , 21 , 1418351680712 , 489.9778 , 85.9558
many , y , 21 , 1418351680768 , 487.7326 , 85.2167
many , y , 21 , 1418351680899 , 486.1747 , 83.8911
many , m , 18 , 1418351680979 , 400.4497 , 68.7106
many , m , 18 , 1418351681014 , 402.4446 , 80.9285
