Nobler , l , 60 , 1418351804735 , 378.0587 , 182.9525
Nobler , l , 60 , 1418351804780 , 377.9214 , 180.616
Nobler , l , 60 , 1418351804815 , 378.5546 , 174.8154
Nobler , l , 60 , 1418351804963 , 379.5651 , 178.8546
Nobler , o , 58 , 1418351804998 , 328.4093 , 146.5498
a , a , 157 , 1418351806293 , 566.6755 , 347.4336
troubles , r , 167 , 1418351806587 , 810.0683 , 331.5425
troubles , t , 166 , 1418351806622 , 790.8136 , 340.4095
troubles , t , 166 , 1418351806667 , 796.5568 , 332.697
troubles , t , 166 , 1418351806702 , 800.6708 , 322.8908
troubles , t , 166 , 1418351806736 , 802.3945 , 319.7029
troubles , t , 166 , 1418351806771 , 800.1642 , 322.4994
troubles , t , 166 , 1418351806816 , 797.4679 , 325.7477
troubles , t , 166 , 1418351806852 , 798.3743 , 324.8976
troubles , t , 166 , 1418351806886 , 801.844 , 325.1181
against , s , 154 , 1418351806920 , 500.2915 , 341.977
against , t , 155 , 1418351806955 , 532.1541 , 340.4783
against , t , 155 , 1418351807002 , 525.5063 , 329.3528
against , t , 155 , 1418351807037 , 523.1015 , 333.2461
against , s , 154 , 1418351807072 , 515.8293 , 332.0906
a , a , 157 , 1418351807119 , 567.2823 , 340.7048
troubles , o , 168 , 1418351807142 , 847.2244 , 387.0312
troubles , r , 167 , 1418351807177 , 806.5869 , 345.7381
troubles , r , 167 , 1418351807222 , 810.2109 , 358.7457
troubles , r , 167 , 1418351807257 , 819.3021 , 370.4581
troubles , r , 167 , 1418351807290 , 827.1999 , 373.967
troubles , r , 167 , 1418351807325 , 827.2676 , 377.3766
worse , w , 163 , 1418351820352 , 679.4942 , 373.3038
worse , o , 164 , 1418351820399 , 706.6741 , 378.6752
worse , r , 165 , 1418351820434 , 725.9057 , 383.8182
of , o , 226 , 1418351820469 , 780.1629 , 413.6462
of , o , 226 , 1418351820504 , 783.3938 , 418.281
of , o , 226 , 1418351820538 , 786.5905 , 411.5206
of , o , 226 , 1418351820584 , 788.2662 , 412.6819
worse , r , 165 , 1418351820619 , 718.0419 , 355.7218
his , i , 115 , 1418351820653 , 641.7203 , 292.498
rejoice , c , 16 , 1418351820689 , 350.9659 , 30.1802
rejoice , i , 15 , 1418351820724 , 331.5363 , 30.2351
Wherefore , e , 3 , 1418351822281 , 50.9947 , 57.0275
Wherefore , e , 3 , 1418351822315 , 52.4229 , 66.93
Wherefore , e , 3 , 1418351822371 , 50.6969 , 61.52
Wherefore , e , 3 , 1418351822500 , 50.7919 , 62.7676
Wherefore , e , 5 , 1418351822536 , 86.6493 , 71.9556
Wherefore , f , 6 , 1418351822581 , 108.227 , 79.5828
Wherefore , f , 6 , 1418351822616 , 123.6258 , 81.7365
Wherefore , o , 7 , 1418351822650 , 136.4992 , 82.2727
Wherefore , o , 7 , 1418351822686 , 146.6889 , 84.1646
What , h , 21 , 1418351822772 , 477.3102 , 59.6008
What , W , 20 , 1418351822797 , 465.821 , 74.8026
What , W , 20 , 1418351822832 , 454.2667 , 79.4573
What , W , 20 , 1418351822879 , 450.7265 , 84.864
What , W , 20 , 1418351822914 , 450.0083 , 78.4356
What , W , 20 , 1418351822948 , 449.2133 , 76.8429
conquest , q , 28 , 1418351822982 , 655.9041 , 63.199
conquest , u , 29 , 1418351823016 , 682.3773 , 64.7799
conquest , u , 29 , 1418351823062 , 671.4077 , 66.8282
conquest , u , 29 , 1418351823096 , 667.9041 , 76.3812
conquest , s , 31 , 1418351823131 , 722.8415 , 70.1876
conquest , t , 32 , 1418351823166 , 743.1396 , 71.5456
What , a , 53 , 1418351823281 , 48.7097 , 190.084
What , a , 53 , 1418351823316 , 51.2556 , 199.007
What , a , 53 , 1418351823364 , 47.092 , 203.5822
What , a , 53 , 1418351823505 , 48.7701 , 204.7018
What , t , 54 , 1418351823539 , 81.3077 , 200.8042
follow , o , 69 , 1418351823573 , 435.2334 , 147.9207
follow , l , 70 , 1418351823619 , 455.8298 , 175.3122
follow , l , 70 , 1418351823654 , 464.8324 , 167.8861
follow , l , 70 , 1418351823689 , 465.7814 , 168.3403
follow , l , 70 , 1418351823724 , 459.5794 , 164.3414
follow , l , 71 , 1418351823758 , 476.6553 , 160.7597
to , t , 79 , 1418351824100 , 664.0066 , 195.8761
captive , e , 106 , 1418351824135 , 427.4411 , 207.3435
captive , p , 102 , 1418351824171 , 328.348 , 216.7655
in , n , 98 , 1418351824206 , 231.7193 , 225.8828
grace , e , 95 , 1418351824275 , 161.8546 , 231.5132
grace , g , 91 , 1418351824321 , 65.2165 , 239.6198
To , o , 89 , 1418351824356 , 32.7115 , 250.4362
To , o , 89 , 1418351824613 , 34.2199 , 272.8488
To , o , 89 , 1418351824647 , 31.1774 , 279.9879
bonds , b , 108 , 1418351824682 , 477.1899 , 274.3976
wheels , w , 126 , 1418351824727 , 909.5425 , 254.086
wheels , w , 126 , 1418351824767 , 907.3091 , 249.7538
wheels , w , 126 , 1418351824802 , 907.3049 , 254.4349
wheels , w , 126 , 1418351824838 , 907.1566 , 250.8892
wheels , w , 126 , 1418351824874 , 902.3348 , 252.2281
chariot , t , 124 , 1418351824943 , 874.1217 , 275.7239
wheels , e , 129 , 1418351825059 , 994.9642 , 252.2726
wheels , s , 131 , 1418351825244 , 1025.7357 , 270.8398
chariot , o , 123 , 1418351825278 , 840.9312 , 283.7072
chariot , c , 118 , 1418351825313 , 725.7872 , 289.6606
you , y , 147 , 1418351825358 , 290.3171 , 316.7419
you , y , 147 , 1418351825392 , 298.0706 , 314.1214
you , y , 147 , 1418351825428 , 295.6064 , 326.3884
you , y , 147 , 1418351825463 , 299.6945 , 326.2034
blocks , s , 144 , 1418351825498 , 225.5238 , 332.1165
blocks , c , 142 , 1418351825543 , 175.1928 , 336.5034
You , Y , 135 , 1418351825578 , -3.0462 , 367.0273
You , Y , 135 , 1418351825612 , 0.4181 , 360.5423
You , Y , 135 , 1418351825646 , -3.5696 , 360.8503
You , o , 136 , 1418351825681 , 16.0703 , 359.8912
blocks , b , 139 , 1418351825726 , 105.5227 , 359.9411
blocks , c , 142 , 1418351825762 , 179.8769 , 352.0461
stones , o , 153 , 1418351825796 , 440.3145 , 327.483
stones , o , 153 , 1418351825830 , 424.0428 , 344.6932
stones , n , 154 , 1418351825877 , 445.5425 , 327.7157
you , y , 159 , 1418351825912 , 568.4391 , 324.4474
you , u , 161 , 1418351825947 , 622.7028 , 326.1231
worse , e , 167 , 1418351826016 , 767.8727 , 363.6567
worse , e , 167 , 1418351826062 , 778.4025 , 347.6509
worse , e , 167 , 1418351826096 , 767.0931 , 357.6257
worse , e , 167 , 1418351826130 , 772.701 , 358.4762
stones , s , 156 , 1418351826280 , 495.9995 , 387.7196
you , o , 213 , 1418351826315 , 482.997 , 397.9322
you , o , 213 , 1418351826356 , 478.0072 , 395.5917
you , o , 213 , 1418351826390 , 477.3364 , 400.013
you , y , 212 , 1418351826424 , 448.3814 , 410.1109
hearts , t , 208 , 1418351826460 , 361.1671 , 423.1799
Knew , e , 238 , 1418351826505 , 48.2918 , 501.1586
Knew , n , 237 , 1418351826574 , 31.6459 , 483.1628
Knew , n , 237 , 1418351826608 , 30.5247 , 486.204
you , u , 197 , 1418351826643 , 100.5911 , 478.8364
hard , h , 199 , 1418351826689 , 149.2713 , 472.7922
hearts , t , 208 , 1418351826723 , 348.8087 , 463.2282
hearts , r , 207 , 1418351826757 , 345.0679 , 457.2794
hearts , r , 207 , 1418351826907 , 346.9407 , 460.2576
you , y , 212 , 1418351826977 , 455.4816 , 451.4371
you , o , 213 , 1418351827023 , 474.8669 , 450.4354
you , o , 213 , 1418351827058 , 487.9113 , 447.9124
you , u , 214 , 1418351827092 , 499.6791 , 448.5982
you , u , 214 , 1418351827127 , 509.5204 , 449.6804
cruèl , r , 217 , 1418351827163 , 574.5616 , 480.2675
of , o , 226 , 1418351827208 , 799.166 , 452.6008
Rome , R , 229 , 1418351827277 , 857.5902 , 432.7476
Rome , R , 229 , 1418351827312 , 865.9465 , 439.6918
Rome , R , 229 , 1418351827362 , 874.4131 , 437.223
Rome , m , 231 , 1418351827386 , 919.2093 , 423.2861
Rome , m , 231 , 1418351827421 , 914.8279 , 457.5958
Rome , m , 231 , 1418351827465 , 905.7593 , 456.5551
Rome , m , 231 , 1418351827501 , 901.3126 , 456.2785
of , f , 227 , 1418351827571 , 805.1367 , 467.851
Many , M , 257 , 1418351827687 , 506.7288 , 523.3917
Pompey , e , 253 , 1418351827722 , 399.713 , 537.4374
Pompey , o , 250 , 1418351827757 , 332.2903 , 544.6826
you , y , 241 , 1418351827837 , 130.1486 , 560.427
you , u , 285 , 1418351827873 , 168.2843 , 577.5793
you , u , 243 , 1418351827908 , 166.0989 , 570.5786
you , y , 241 , 1418351827942 , 112.6685 , 565.3218
Knew , w , 239 , 1418351828022 , 79.3165 , 561.6617
Knew , w , 239 , 1418351828056 , 70.3439 , 567.3962
Knew , w , 239 , 1418351828091 , 61.8683 , 568.5102
Knew , w , 239 , 1418351828125 , 60.4341 , 571.36
Knew , e , 238 , 1418351828171 , 56.6405 , 571.7386
Knew , e , 238 , 1418351828206 , 56.4231 , 573.4784
Knew , e , 238 , 1418351828241 , 52.9271 , 573.2795
Pompey , o , 250 , 1418351828276 , 340.4072 , 568.1862
Many , a , 258 , 1418351828311 , 523.7723 , 562.8164
Many , a , 258 , 1418351828363 , 524.9425 , 567.523
Many , a , 258 , 1418351828389 , 522.0723 , 571.1561
Many , a , 258 , 1418351828424 , 519.1482 , 565.2338
Many , y , 260 , 1418351828458 , 581.1886 , 563.5417
and , n , 270 , 1418351828504 , 821.9955 , 555.259
and , n , 270 , 1418351828540 , 824.9679 , 543.9152
and , n , 270 , 1418351828575 , 822.6234 , 553.223
and , d , 271 , 1418351828609 , 831.8642 , 553.3193
and , d , 271 , 1418351828645 , 833.895 , 552.1492
and , d , 271 , 1418351828690 , 834.84 , 555.2401
and , d , 271 , 1418351828725 , 832.0275 , 559.8926
battlements , a , 312 , 1418351828910 , 818.1234 , 582.3539
up , u , 295 , 1418351828945 , 419.384 , 636.8992
climbed , m , 290 , 1418351828980 , 282.4557 , 654.1275
climbed , c , 287 , 1418351829014 , 208.8927 , 662.6876
you , u , 285 , 1418351829049 , 162.7309 , 666.6292
To , T , 325 , 1418351829095 , 7.8641 , 682.3902
To , T , 325 , 1418351829129 , -1.1504 , 698.0009
windows , n , 341 , 1418351829243 , 381.1997 , 671.3279
windows , d , 342 , 1418351829279 , 416.6367 , 673.5112
yea , y , 348 , 1418351829314 , 548.422 , 670.7527
to , o , 354 , 1418351829388 , 684.3199 , 667.5847
and , d , 309 , 1418351829423 , 740.6697 , 661.9774
battlements , b , 311 , 1418351829503 , 792.4496 , 665.0722
battlements , t , 314 , 1418351829538 , 863.0114 , 639.4806
battlements , t , 314 , 1418351829572 , 873.3526 , 658.4368
battlements , t , 314 , 1418351829607 , 872.1215 , 653.7482
battlements , t , 314 , 1418351829643 , 869.4894 , 654.374
battlements , a , 312 , 1418351829689 , 812.0962 , 589.2194
you , o , 160 , 1418351829759 , 603.0493 , 308.504
his , i , 115 , 1418351829794 , 638.1235 , 289.9351
his , h , 114 , 1418351829829 , 624.3051 , 272.9002
his , h , 114 , 1418351829864 , 620.8928 , 276.1894
his , h , 114 , 1418351829909 , 621.4095 , 271.5834
his , h , 114 , 1418351829944 , 622.2321 , 273.2401
his , h , 114 , 1418351829979 , 621.2025 , 274.283
his , h , 114 , 1418351830013 , 622.3533 , 275.895
his , h , 114 , 1418351830059 , 622.2599 , 277.3279
his , h , 114 , 1418351830093 , 621.7013 , 278.9993
his , h , 114 , 1418351830127 , 620.7881 , 279.9055
his , h , 114 , 1418351830161 , 619.0165 , 281.782
his , h , 114 , 1418351830206 , 617.8414 , 284.9492
his , h , 114 , 1418351830240 , 615.7413 , 285.616
his , h , 114 , 1418351830275 , 615.2021 , 288.76
his , h , 114 , 1418351830309 , 612.2633 , 289.2623
his , h , 114 , 1418351830390 , 613.009 , 289.7082
his , h , 114 , 1418351830425 , 613.0986 , 290.5657
his , h , 114 , 1418351830459 , 614.107 , 292.4391
his , h , 114 , 1418351830495 , 613.0675 , 295.0146
his , h , 114 , 1418351830540 , 613.1363 , 297.1161
you , o , 160 , 1418351830609 , 610.2111 , 299.4511
time , m , 266 , 1418351830644 , 725.2421 , 490.3817
men , n , 224 , 1418351830680 , 732.2664 , 476.8225
time , e , 267 , 1418351830725 , 736.5846 , 494.1294
time , e , 267 , 1418351830759 , 735.8468 , 496.6669
time , e , 267 , 1418351830794 , 733.7142 , 500.1337
time , m , 266 , 1418351830828 , 729.7342 , 503.5684
time , e , 267 , 1418351830863 , 740.8936 , 508.2649
time , e , 267 , 1418351830907 , 747.499 , 511.4422
time , e , 267 , 1418351830941 , 749.4323 , 516.9292
time , e , 267 , 1418351830976 , 751.547 , 516.1022
time , e , 267 , 1418351831011 , 753.6797 , 514.3903
time , e , 267 , 1418351831057 , 752.9257 , 515.1117
time , e , 267 , 1418351831090 , 754.6892 , 515.1596
and , a , 269 , 1418351831240 , 780.0027 , 537.8874
and , a , 269 , 1418351831274 , 782.8115 , 541.5052
and , a , 269 , 1418351831310 , 787.703 , 544.9264
and , a , 269 , 1418351831355 , 792.1122 , 548.5263
and , a , 269 , 1418351831493 , 794.8076 , 551.0622
and , a , 269 , 1418351831539 , 791.1064 , 547.3312
and , a , 269 , 1418351831573 , 787.8249 , 544.1052
and , a , 269 , 1418351831608 , 785.046 , 541.175
and , a , 269 , 1418351831642 , 782.0416 , 537.7349
Rome , m , 84 , 1418351831723 , 801.1365 , 189.5217
chariot , i , 122 , 1418351831758 , 807.4559 , 259.2567
chariot , r , 121 , 1418351831793 , 792.4517 , 270.3121
chariot , a , 120 , 1418351831827 , 777.9529 , 263.8689
chariot , a , 120 , 1418351831873 , 774.7456 , 264.9709
chariot , a , 120 , 1418351831908 , 778.8792 , 261.0893
chariot , a , 120 , 1418351831943 , 779.5723 , 257.4642
chariot , a , 120 , 1418351831978 , 778.2034 , 255.2949
chariot , a , 120 , 1418351832011 , 778.636 , 255.6772
chariot , a , 120 , 1418351832058 , 775.9091 , 257.0309
