Flesh , e , 319 , 1418592368126 , 165.2991 , 721.6982
Flesh , s , 320 , 1418592368162 , 198.6144 , 693.4279
Flesh , h , 321 , 1418592368197 , 209.6632 , 687.5243
Flesh , h , 321 , 1418592368232 , 216.9746 , 680.4879
Flesh , h , 321 , 1418592368267 , 218.305 , 676.9711
Flesh , s , 320 , 1418592368302 , 181.4207 , 732.9926
ache , c , 274 , 1418592368347 , 254.2615 , 643.9167
opposing , p , 186 , 1418592368382 , 221.7944 , 427.838
take , e , 142 , 1418592368417 , 211.9197 , 324.7173
Slings , g , 95 , 1418592368451 , 203.8268 , 268.276
Slings , g , 95 , 1418592368496 , 190.1947 , 226.6642
be , e , 6 , 1418592368531 , 131.5946 , 91.198
be , e , 6 , 1418592368566 , 130.9401 , 79.9383
be , e , 6 , 1418592368936 , 131.0733 , 41.492
be , e , 6 , 1418592368971 , 128.8897 , 34.5597
be , e , 6 , 1418592369006 , 121.012 , 26.1639
To , o , 3 , 1418592370491 , 57.6452 , 81.773
To , o , 3 , 1418592370525 , 38.2338 , 43.4745
To , T , 2 , 1418592370562 , 24.6075 , 39.6964
To , T , 2 , 1418592370597 , 26.5645 , 41.9317
To , T , 2 , 1418592370642 , 22.7116 , 40.8104
To , T , 2 , 1418592370677 , 16.444 , 55.0007
Whether , e , 46 , 1418592370713 , 58.484 , 130.2253
Whether , e , 46 , 1418592370747 , 55.7785 , 123.4023
To , o , 3 , 1418592370783 , 41.0494 , 112.6881
To , o , 3 , 1418592370817 , 36.3991 , 106.4736
be , b , 5 , 1418592370863 , 84.9848 , 105.3221
not , n , 12 , 1418592370897 , 256.6841 , 85.8469
not , o , 13 , 1418592370932 , 281.8226 , 75.9053
not , n , 12 , 1418592370967 , 267.8117 , 110.9753
not , n , 12 , 1418592371012 , 264.6952 , 103.6623
not , n , 12 , 1418592371048 , 263.0519 , 104.2769
not , n , 12 , 1418592371083 , 261.3074 , 113.8627
not , n , 12 , 1418592371118 , 255.3624 , 104.8923
not , n , 12 , 1418592371198 , 271.7028 , 112.9991
to , t , 23 , 1418592371232 , 525.5979 , 112.3652
the , t , 67 , 1418592371267 , 542.9141 , 157.0674
mind , d , 74 , 1418592371566 , 713.8496 , 185.9865
suffer , s , 79 , 1418592371636 , 834.2778 , 163.4053
suffer , s , 79 , 1418592371671 , 840.619 , 135.2789
suffer , s , 79 , 1418592371716 , 838.5974 , 139.7553
suffer , s , 79 , 1418592371750 , 851.5859 , 137.7469
suffer , s , 79 , 1418592371785 , 844.6472 , 140.5424
