be , e , 6 , 1418700567288 , 121.2729 , 110.3455
Whether , W , 44 , 1418700567324 , -0.9567 , 123.6079
Whether , W , 44 , 1418700567368 , -14.1581 , 120.5651
Whether , W , 44 , 1418700567403 , -28.2863 , 129.7233
Whether , W , 44 , 1418700567438 , -28.9835 , 132.1592
Whether , W , 44 , 1418700567473 , -39.005 , 136.1019
Whether , W , 44 , 1418700567518 , -39.1724 , 138.5879
Whether , W , 44 , 1418700567553 , -38.4187 , 137.2082
Whether , W , 44 , 1418700567588 , -38.2421 , 138.3735
Whether , W , 44 , 1418700567623 , -60.0027 , 151.6183
tis , s , 55 , 1418700567658 , 270.3198 , 143.476
Nobler , N , 57 , 1418700567806 , 307.6186 , 129.6895
Nobler , o , 58 , 1418700567841 , 332.5856 , 155.6547
Nobler , o , 58 , 1418700567887 , 335.1542 , 134.042
Nobler , o , 58 , 1418700567922 , 338.5473 , 132.7765
Nobler , o , 58 , 1418700567956 , 343.7334 , 130.3772
Nobler , e , 61 , 1418700567990 , 402.023 , 135.4894
mind , m , 71 , 1418700568070 , 651.3317 , 135.1313
mind , m , 71 , 1418700568104 , 656.0348 , 126.053
mind , m , 71 , 1418700568185 , 657.1945 , 122.8301
the , t , 29 , 1418700568219 , 662.7014 , 113.5388
mind , i , 72 , 1418700568254 , 675.8998 , 123.7136
mind , n , 73 , 1418700568289 , 700.4262 , 118.5312
mind , d , 74 , 1418700568323 , 720.5692 , 116.6443
to , t , 76 , 1418700568473 , 760.7131 , 118.7202
to , t , 76 , 1418700568508 , 764.7631 , 120.7083
to , t , 76 , 1418700568553 , 772.6812 , 119.7798
to , t , 76 , 1418700568587 , 778.1066 , 121.7143
to , o , 77 , 1418700568623 , 781.872 , 122.5861
to , o , 77 , 1418700568657 , 785.5471 , 123.2308
to , o , 77 , 1418700568702 , 788.4208 , 123.2292
Slings , S , 91 , 1418700568772 , 85.6974 , 220.1191
The , e , 89 , 1418700569001 , 42.2761 , 229.9352
The , e , 89 , 1418700569036 , 53.1724 , 225.1145
The , e , 89 , 1418700569072 , 52.9327 , 229.1205
Slings , i , 93 , 1418700569107 , 143.2563 , 221.9394
Slings , g , 95 , 1418700569142 , 198.045 , 223.9797
Nobler , e , 61 , 1418700569176 , 403.7042 , 204.1777
Nobler , e , 61 , 1418700569222 , 400.3747 , 206.5647
Nobler , r , 62 , 1418700569256 , 427.7245 , 204.4855
outrageous , u , 113 , 1418700569361 , 613.6936 , 215.1333
outrageous , e , 118 , 1418700569406 , 734.352 , 211.9515
outrageous , e , 118 , 1418700569442 , 748.457 , 230.5712
outrageous , s , 121 , 1418700569477 , 812.6584 , 212.9793
Fortune , F , 123 , 1418700569511 , 858.9277 , 220.5789
Fortune , o , 124 , 1418700569546 , 881.9777 , 220.2556
Fortune , o , 124 , 1418700569591 , 896.4075 , 216.4293
Fortune , r , 125 , 1418700569626 , 903.4525 , 217.25
Fortune , u , 127 , 1418700569660 , 949.1384 , 257.7274
Fortune , t , 126 , 1418700569695 , 947.0529 , 242.4986
Fortune , t , 126 , 1418700569740 , 935.9791 , 219.4118
Fortune , u , 127 , 1418700569774 , 949.5792 , 229.9982
Fortune , u , 127 , 1418700569809 , 952.8524 , 235.7782
Fortune , t , 126 , 1418700569843 , 947.5261 , 245.0829
and , d , 100 , 1418700569888 , 308.4642 , 273.8443
take , t , 139 , 1418700569924 , 149.2352 , 323.5794
to , o , 137 , 1418700570027 , 103.3451 , 319.125
to , o , 137 , 1418700570073 , 103.5111 , 324.9024
to , o , 137 , 1418700570211 , 102.7074 , 333.9046
to , o , 137 , 1418700570256 , 98.5961 , 333.5613
take , a , 140 , 1418700570291 , 173.1922 , 336.0476
against , s , 154 , 1418700570327 , 503.8975 , 347.5281
against , s , 154 , 1418700570364 , 511.7411 , 336.5746
against , t , 155 , 1418700570409 , 523.7579 , 320.3745
against , t , 155 , 1418700570433 , 527.5674 , 329.4724
against , t , 155 , 1418700570479 , 525.054 , 323.8756
against , t , 155 , 1418700570513 , 523.627 , 331.538
against , t , 155 , 1418700570547 , 534.1086 , 336.2011
a , a , 157 , 1418700570662 , 565.1547 , 341.4998
a , a , 157 , 1418700570697 , 575.981 , 343.3739
troubles , o , 168 , 1418700570732 , 844.7992 , 320.2595
troubles , r , 167 , 1418700570767 , 806.1788 , 370.5642
troubles , r , 167 , 1418700570813 , 811.4026 , 346.924
troubles , r , 167 , 1418700570847 , 813.5114 , 341.4315
troubles , r , 167 , 1418700570881 , 816.9298 , 338.4864
troubles , r , 167 , 1418700570916 , 814.6017 , 342.1676
troubles , r , 167 , 1418700570952 , 812.3438 , 345.7748
troubles , r , 167 , 1418700570997 , 813.9831 , 342.7223
troubles , r , 167 , 1418700571032 , 815.5323 , 344.0252
troubles , r , 167 , 1418700571067 , 815.7257 , 343.0951
troubles , r , 167 , 1418700571101 , 813.6304 , 339.955
