of , f , 110 , 1418702815705 , 569.2943 , 297.0071
Arrows , r , 103 , 1418702815764 , 388.2296 , 253.2958
against , g , 150 , 1418702815800 , 404.512 , 313.5117
against , g , 150 , 1418702815845 , 401.2614 , 305.3259
Arrows , r , 104 , 1418702815880 , 397.0185 , 290.3845
Arrows , r , 103 , 1418702815916 , 395.7693 , 287.7868
Arrows , r , 103 , 1418702815950 , 390.0955 , 284.1864
Whether , W , 44 , 1418702817327 , -35.3123 , 133.9538
Whether , W , 44 , 1418702817363 , -36.9084 , 130.4026
Whether , W , 44 , 1418702817397 , -37.2663 , 123.5311
Whether , W , 44 , 1418702817431 , -36.9736 , 120.4632
Whether , W , 44 , 1418702817467 , -39.0017 , 120.1903
To , o , 3 , 1418702817617 , 40.5444 , 69.0839
be , b , 5 , 1418702817697 , 95.5542 , 63.051
be , e , 6 , 1418702817732 , 109.9486 , 57.934
be , e , 6 , 1418702817766 , 120.2385 , 54.2605
to , o , 17 , 1418702817986 , 384.8344 , 34.3427
is , i , 26 , 1418702818065 , 594.7921 , 48.9589
is , i , 26 , 1418702818100 , 606.0396 , 52.1202
is , i , 26 , 1418702818135 , 608.17 , 44.6766
is , i , 26 , 1418702818171 , 604.3418 , 32.6642
is , i , 26 , 1418702818206 , 605.3007 , 24.5588
is , i , 26 , 1418702818286 , 603.7653 , 24.8881
is , i , 26 , 1418702818321 , 604.3302 , 27.5143
is , i , 26 , 1418702818357 , 600.8229 , 28.9174
is , i , 26 , 1418702818391 , 603.9312 , 31.7113
is , i , 26 , 1418702818436 , 603.2009 , 36.1192
is , i , 26 , 1418702818471 , 601.8027 , 41.6964
is , i , 26 , 1418702818505 , 600.0202 , 42.2541
is , i , 26 , 1418702818540 , 597.9046 , 44.2835
is , i , 26 , 1418702818585 , 596.8257 , 46.1469
is , i , 26 , 1418702818619 , 595.9995 , 49.7395
is , i , 26 , 1418702818654 , 596.0847 , 57.3821
is , i , 26 , 1418702818690 , 597.4888 , 62.1459
to , t , 76 , 1418702818725 , 775.5747 , 182.4042
mind , d , 74 , 1418702818760 , 719.8878 , 115.5768
mind , d , 74 , 1418702818805 , 717.2084 , 121.9227
mind , d , 74 , 1418702818839 , 715.7051 , 121.2922
mind , d , 74 , 1418702818874 , 714.8795 , 127.0645
mind , d , 74 , 1418702818908 , 708.2179 , 126.9233
mind , d , 74 , 1418702818953 , 711.1063 , 130.8784
mind , d , 74 , 1418702818989 , 715.0909 , 131.7065
mind , d , 74 , 1418702819024 , 713.5796 , 139.7822
mind , d , 74 , 1418702819059 , 709.5057 , 142.0296
mind , n , 73 , 1418702819094 , 705.8863 , 145.5047
mind , n , 73 , 1418702819139 , 706.9824 , 149.4735
mind , d , 74 , 1418702819175 , 714.7496 , 146.6329
mind , d , 74 , 1418702819210 , 721.8882 , 150.3072
mind , d , 74 , 1418702819244 , 728.4767 , 153.5157
suffer , f , 82 , 1418702819359 , 919.7721 , 173.6949
Fortune , r , 125 , 1418702819393 , 901.3469 , 246.0688
Fortune , o , 124 , 1418702819427 , 889.8503 , 224.5701
Fortune , o , 124 , 1418702819473 , 894.9743 , 210.9019
Fortune , o , 124 , 1418702819508 , 896.6016 , 223.2656
Fortune , o , 124 , 1418702819543 , 898.3809 , 219.0782
Fortune , r , 125 , 1418702819577 , 901.8304 , 221.1221
Fortune , r , 125 , 1418702819611 , 906.239 , 229.2928
Fortune , r , 125 , 1418702819657 , 905.888 , 227.3476
Fortune , r , 125 , 1418702819691 , 905.4925 , 226.9622
outrageous , o , 112 , 1418702819726 , 603.2414 , 246.331
Arrows , s , 107 , 1418702819806 , 471.6141 , 236.2722
Arrows , w , 106 , 1418702819841 , 464.8768 , 263.4646
Arrows , w , 106 , 1418702819876 , 462.166 , 258.6045
Arrows , w , 106 , 1418702819911 , 459.3222 , 268.4828
Arrows , w , 106 , 1418702819946 , 456.9769 , 264.1006
to , t , 136 , 1418702819992 , 65.5378 , 299.5393
Or , r , 134 , 1418702820027 , 21.7256 , 300.0631
Or , r , 134 , 1418702820061 , 26.8899 , 308.9506
Or , r , 134 , 1418702820096 , 30.1958 , 307.1443
Or , r , 134 , 1418702820131 , 19.9488 , 307.8896
Or , r , 134 , 1418702820176 , 17.7406 , 303.6454
Arms , s , 147 , 1418702820211 , 331.3958 , 303.3636
Arms , m , 146 , 1418702820246 , 311.7587 , 302.6574
Arms , m , 146 , 1418702820280 , 313.1213 , 320.7462
Arms , r , 145 , 1418702820315 , 299.8399 , 318.5197
Arms , m , 146 , 1418702820361 , 309.4287 , 310.8224
Arms , m , 146 , 1418702820394 , 311.8366 , 303.1391
outrageous , t , 114 , 1418702820463 , 655.7377 , 256.916
outrageous , t , 114 , 1418702820510 , 646.2211 , 256.0698
outrageous , t , 114 , 1418702820545 , 651.8973 , 261.0871
outrageous , t , 114 , 1418702820579 , 659.9661 , 255.8195
outrageous , t , 114 , 1418702820614 , 659.4014 , 264.0803
outrageous , t , 114 , 1418702820649 , 659.2896 , 269.9213
outrageous , r , 115 , 1418702820695 , 660.4701 , 272.218
outrageous , r , 115 , 1418702820730 , 661.9285 , 277.5422
outrageous , r , 115 , 1418702820765 , 664.5228 , 277.2738
outrageous , r , 115 , 1418702820799 , 663.6137 , 272.2109
