die,  d 1416671121012
to    1416671122054
Ben  t 1416671122816
To  T 1416671127255
To    1416671128484
To  o 1416671128742
to  t 1416671130264
is  i 1416671130479
Ben    1416671130693
the  t 1416671130899
not  n 1416671134121
to    1416671134339
to  t 1416671134545
to  o 1416671134755
be,  b 1416671134960
Ben    1416671135167
to  t 1416671135955
is    1416671136171
Ben    1416671136398
the  t 1416671136602
to    1416671139292
to  t 1416671141055
be,  b 1416671141402
Ben  t 1416671142584
to  t 1416671144599
is  s 1416671145769
Ben    1416671146216
