to , t , 212 , 1418327426631 , 850.8173 , 468.9791
to , t , 212 , 1418327426665 , 851.1791 , 468.0495
to , o , 213 , 1418327426710 , 852.3096 , 468.5154
Aye , e , 430 , 1418327426747 , 764.9137 , 862.5222
Aye , e , 430 , 1418327426782 , 760.3277 , 899.3823
Aye , y , 429 , 1418327426817 , 733.6478 , 882.4784
Aye , A , 428 , 1418327426851 , 722.7779 , 872.7071
Aye , A , 428 , 1418327426896 , 718.1081 , 876.0267
Aye , A , 428 , 1418327426967 , 715.1865 , 877.3885
say , s , 251 , 1418327427227 , 663.5819 , 513.7838
say , s , 251 , 1418327427262 , 671.3648 , 515.9858
say , a , 252 , 1418327427299 , 687.8724 , 520.1152
say , a , 252 , 1418327427343 , 703.574 , 522.4754
say , y , 253 , 1418327427377 , 711.6246 , 524.8605
say , y , 253 , 1418327427411 , 720.5915 , 526.6162
say , y , 253 , 1418327427445 , 729.0793 , 528.2078
say , y , 253 , 1418327427516 , 726.9293 , 536.7047
say , y , 253 , 1418327427562 , 720.7298 , 542.639
say , y , 253 , 1418327427596 , 714.7717 , 547.9198
say , y , 253 , 1418327427631 , 710.5616 , 552.2203
say , a , 252 , 1418327427666 , 704.6512 , 555.0945
say , a , 252 , 1418327427700 , 699.6255 , 558.8756
say , a , 252 , 1418327427747 , 694.7439 , 562.2384
say , a , 252 , 1418327427782 , 691.076 , 564.9274
say , a , 252 , 1418327427816 , 686.867 , 567.7516
say , s , 251 , 1418327427851 , 683.5316 , 570.7585
say , s , 251 , 1418327427896 , 679.152 , 573.7714
thousand , s , 291 , 1418327427930 , 675.6083 , 576.1309
thousand , s , 291 , 1418327427966 , 670.945 , 577.3986
thousand , s , 291 , 1418327428002 , 666.2619 , 580.0145
thousand , s , 291 , 1418327428036 , 663.4401 , 581.4894
thousand , u , 290 , 1418327428072 , 659.9306 , 583.2474
thousand , u , 290 , 1418327428118 , 656.226 , 587.025
thousand , u , 290 , 1418327428152 , 654.1183 , 590.452
thousand , u , 290 , 1418327428187 , 652.0841 , 593.8909
thousand , u , 290 , 1418327428222 , 651.0557 , 598.622
thousand , u , 290 , 1418327428256 , 649.5997 , 602.5419
thousand , u , 290 , 1418327428303 , 640.0492 , 649.1838
thousand , o , 289 , 1418327428338 , 617.9275 , 641.8317
thousand , o , 289 , 1418327428372 , 626.9424 , 646.5507
thousand , o , 289 , 1418327428407 , 626.3 , 647.2875
thousand , o , 289 , 1418327428442 , 627.9996 , 648.0936
thousand , o , 289 , 1418327428487 , 631.3245 , 651.228
thousand , o , 289 , 1418327428522 , 632.1942 , 652.1544
thousand , o , 289 , 1418327428557 , 633.007 , 652.3004
thousand , o , 289 , 1418327428591 , 632.7574 , 652.4085
thousand , o , 289 , 1418327428626 , 628.9943 , 659.4756
thousand , o , 289 , 1418327428672 , 627.7238 , 664.0736
Tis , s , 338 , 1418327428707 , 625.2469 , 669.7405
Tis , s , 338 , 1418327428742 , 623.1575 , 675.0596
Tis , s , 338 , 1418327428778 , 621.3119 , 678.7204
Tis , s , 338 , 1418327428813 , 618.7852 , 680.7183
Tis , s , 338 , 1418327428857 , 616.1262 , 683.2745
Tis , s , 338 , 1418327428893 , 614.4323 , 686.4932
Tis , s , 338 , 1418327428929 , 613.1423 , 689.8449
Tis , i , 337 , 1418327428964 , 611.8156 , 692.7341
Tis , i , 337 , 1418327428999 , 610.0388 , 697.4979
Tis , i , 337 , 1418327429034 , 608.4569 , 702.5306
Tis , i , 337 , 1418327429081 , 607.6995 , 705.9691
Tis , i , 337 , 1418327429114 , 605.7218 , 709.6337
Tis , i , 337 , 1418327429149 , 605.2578 , 713.6967
Tis , i , 337 , 1418327429183 , 604.7728 , 717.4119
Tis , i , 337 , 1418327429218 , 603.0053 , 720.1799
Tis , i , 337 , 1418327429263 , 601.9875 , 724.4525
Tis , i , 337 , 1418327429298 , 601.4138 , 727.1249
Tis , i , 337 , 1418327429333 , 600.1252 , 730.3419
Tis , i , 337 , 1418327429369 , 598.652 , 733.5064
Tis , i , 337 , 1418327429403 , 598.5933 , 735.9283
Tis , i , 337 , 1418327429448 , 597.1706 , 738.9694
Tis , i , 337 , 1418327429483 , 596.2075 , 741.8679
Tis , i , 337 , 1418327429518 , 595.6679 , 743.9763
Tis , i , 337 , 1418327429553 , 595.6841 , 746.9221
Tis , i , 337 , 1418327429588 , 596.7183 , 752.5256
Tis , i , 337 , 1418327429634 , 598.6638 , 758.9885
To , o , 380 , 1418327429887 , 587.9669 , 779.2441
To , o , 380 , 1418327429922 , 586.0825 , 781.6977
To , o , 380 , 1418327429968 , 584.7493 , 783.7867
To , o , 380 , 1418327430003 , 583.6176 , 785.7894
To , o , 380 , 1418327430037 , 584.0898 , 789.4999
To , o , 380 , 1418327430072 , 585.4442 , 793.9371
To , o , 380 , 1418327430107 , 583.584 , 795.403
To , o , 380 , 1418327430152 , 582.3047 , 796.6686
To , o , 380 , 1418327430187 , 583.046 , 800.027
To , o , 380 , 1418327430221 , 583.9872 , 803.5455
To , o , 380 , 1418327430255 , 582.6292 , 804.0494
To , o , 380 , 1418327430300 , 580.3661 , 805.6223
To , o , 380 , 1418327430336 , 582.049 , 809.7122
To , o , 380 , 1418327430372 , 582.4118 , 813.7089
To , o , 380 , 1418327430407 , 584.8709 , 818.9612
To , o , 380 , 1418327430442 , 586.7648 , 823.7604
Dream , e , 423 , 1418327430741 , 591.8212 , 851.0573
Dream , e , 423 , 1418327430776 , 591.4939 , 854.8476
Dream , e , 423 , 1418327430812 , 590.7357 , 857.8486
Dream , e , 423 , 1418327430847 , 590.3743 , 859.6936
Dream , e , 423 , 1418327430892 , 588.7701 , 862.1443
Dream , r , 422 , 1418327430926 , 587.4438 , 863.3538
Dream , r , 422 , 1418327430961 , 585.6038 , 865.5234
Dream , r , 422 , 1418327430997 , 585.0245 , 867.6676
Dream , r , 422 , 1418327431041 , 583.7352 , 869.8829
Dream , r , 422 , 1418327431076 , 581.5612 , 869.9563
Dream , r , 422 , 1418327431112 , 582.2667 , 871.5597
ache , h , 275 , 1418327431147 , 285.7814 , 615.9778
to , t , 136 , 1418327431182 , 62.1782 , 323.4057
Slings , S , 91 , 1418327431228 , 92.0813 , 293.3617
Slings , S , 91 , 1418327431262 , 102.1014 , 284.1978
Slings , l , 92 , 1418327431297 , 111.6467 , 278.885
Slings , l , 92 , 1418327431332 , 117.1877 , 277.4888
Slings , S , 91 , 1418327431366 , 105.6766 , 266.1783
Slings , i , 93 , 1418327431412 , 135.0186 , 257.1358
Slings , i , 93 , 1418327431447 , 136.4791 , 271.9202
Slings , l , 92 , 1418327431481 , 120.3121 , 284.9992
Slings , l , 92 , 1418327431515 , 112.4824 , 292.5416
Slings , l , 92 , 1418327431550 , 109.6468 , 297.3346
Slings , S , 91 , 1418327431597 , 102.7017 , 295.7881
be , b , 5 , 1418327431632 , 90.9557 , 71.6554
be , e , 6 , 1418327431667 , 128.4641 , 85.9416
be , e , 6 , 1418327431702 , 123.6061 , 89.2332
tis , s , 55 , 1418327431782 , 254.1574 , 168.1968
Arrows , A , 102 , 1418327431816 , 354.7914 , 232.7326
say , a , 252 , 1418327431921 , 694.2441 , 512.2076
we , e , 256 , 1418327431967 , 796.686 , 516.7997
Sea , S , 159 , 1418327432107 , 625.6573 , 366.764
against , s , 154 , 1418327432142 , 512.9692 , 355.0923
against , n , 153 , 1418327432187 , 481.1994 , 357.2571
a , a , 157 , 1418327432222 , 567.1966 , 349.6643
Sea , a , 161 , 1418327432257 , 681.3604 , 345.9328
troubles , b , 170 , 1418327432372 , 879.2256 , 323.3133
of , f , 164 , 1418327432406 , 747.7234 , 311.7028
of , f , 164 , 1418327432442 , 739.5457 , 307.6731
troubles , o , 168 , 1418327432476 , 838.3594 , 306.3539
troubles , b , 170 , 1418327432626 , 885.3577 , 375.0288
of , f , 164 , 1418327432661 , 732.2502 , 380.2303
Sea , a , 161 , 1418327432706 , 663.015 , 385.7169
sleep , s , 215 , 1418327432740 , 916.1604 , 469.2828
opposing , i , 189 , 1418327432959 , 277.9019 , 475.8163
end , e , 194 , 1418327432995 , 412.0561 , 437.2939
die , d , 207 , 1418327433074 , 723.3434 , 452.1725
sleep , e , 217 , 1418327433180 , 968.4567 , 479.6547
say , y , 253 , 1418327433296 , 712.3759 , 507.5641
say , a , 252 , 1418327433330 , 694.8752 , 509.3395
say , a , 252 , 1418327433365 , 687.3224 , 511.2452
to , o , 249 , 1418327433853 , 633.1741 , 553.5452
to , o , 249 , 1418327433889 , 630.7292 , 558.4092
to , o , 249 , 1418327433922 , 630.0189 , 561.5729
to , o , 249 , 1418327433957 , 628.0428 , 564.6287
to , o , 249 , 1418327434003 , 627.1616 , 567.228
end , d , 196 , 1418327434036 , 457.569 , 461.3547
Whether , r , 50 , 1418327434106 , 147.5961 , 174.0135
Whether , r , 50 , 1418327434151 , 143.4645 , 174.605
Whether , r , 50 , 1418327434187 , 143.8285 , 176.1508
Whether , r , 50 , 1418327434222 , 144.8596 , 179.6481
Whether , h , 48 , 1418327434257 , 95.3346 , 146.9691
Whether , h , 48 , 1418327434293 , 86.7348 , 140.2039
Whether , h , 48 , 1418327434328 , 88.2039 , 147.1732
Whether , h , 48 , 1418327434364 , 85.3401 , 142.712
Whether , t , 47 , 1418327434410 , 83.5855 , 142.1057
Whether , t , 47 , 1418327434445 , 83.7281 , 140.717
Whether , t , 47 , 1418327434480 , 83.8307 , 140.4357
Whether , t , 47 , 1418327434514 , 83.9437 , 140.8219
Whether , t , 47 , 1418327434548 , 83.8737 , 141.8751
Whether , t , 47 , 1418327434593 , 82.7941 , 142.4275
Whether , t , 47 , 1418327434628 , 83.9598 , 142.2681
Whether , h , 48 , 1418327434664 , 84.992 , 140.9409
Whether , h , 48 , 1418327434699 , 87.176 , 139.6657
Whether , h , 48 , 1418327434734 , 87.6104 , 139.9889
Whether , h , 48 , 1418327434779 , 89.998 , 140.3958
Whether , h , 48 , 1418327434814 , 91.3896 , 139.6357
Whether , h , 48 , 1418327434849 , 92.3646 , 138.7637
Whether , h , 48 , 1418327434884 , 93.0999 , 137.8934
Whether , h , 48 , 1418327434918 , 93.6978 , 138.4366
Whether , h , 48 , 1418327434964 , 92.8021 , 138.0823
Whether , h , 48 , 1418327435000 , 93.3809 , 138.1394
Whether , h , 48 , 1418327435034 , 92.6248 , 138.6745
Whether , h , 48 , 1418327435070 , 92.7778 , 137.8983
Whether , h , 48 , 1418327435107 , 93.6305 , 138.1405
Whether , h , 48 , 1418327435142 , 93.8924 , 138.7723
is , s , 324 , 1418327435222 , 289.2702 , 721.5181
is , s , 324 , 1418327435256 , 293.0041 , 735.4045
is , s , 324 , 1418327435292 , 295.0294 , 737.8708
is , s , 324 , 1418327435328 , 291.0747 , 752.8781
have , v , 512 , 1418327435408 , 241.4387 , 1099.2552
have , v , 512 , 1418327435442 , 234.8392 , 1085.2238
have , e , 513 , 1418327435476 , 258.09 , 1095.7897
have , e , 513 , 1418327435511 , 259.0131 , 1094.3063
have , e , 513 , 1418327435555 , 262.9592 , 1092.7843
have , e , 513 , 1418327435589 , 270.8904 , 1060.2535
wished , w , 371 , 1418327435622 , 362.6319 , 791.0873
wished , h , 374 , 1418327435668 , 430.0882 , 840.3426
wished , s , 373 , 1418327435702 , 411.213 , 842.0443
wished , s , 373 , 1418327435737 , 403.5825 , 822.8737
wished , s , 373 , 1418327435771 , 398.7417 , 815.794
wished , i , 372 , 1418327435817 , 394.558 , 810.9141
wished , i , 372 , 1418327435851 , 392.6572 , 806.417
wished , i , 372 , 1418327435887 , 388.6828 , 804.0626
wished , i , 372 , 1418327435921 , 385.5696 , 803.6536
wished , i , 372 , 1418327435956 , 383.5991 , 803.0635
wished , i , 372 , 1418327436001 , 381.5749 , 801.6486
wished , i , 372 , 1418327436036 , 380.0546 , 800.3848
wished , i , 372 , 1418327436073 , 378.3633 , 800.7696
wished , i , 372 , 1418327436108 , 375.9 , 799.6898
wished , i , 372 , 1418327436143 , 375.6454 , 800.2734
wished , i , 372 , 1418327436177 , 373.9238 , 800.163
wished , i , 372 , 1418327436223 , 373.2094 , 800.6541
Dream , r , 422 , 1418327436258 , 586.0773 , 881.4169
Aye , e , 430 , 1418327436292 , 764.4443 , 905.9409
Aye , e , 430 , 1418327436326 , 771.6758 , 905.4497
Aye , e , 430 , 1418327436371 , 768.972 , 909.9608
Aye , e , 430 , 1418327436407 , 765.8248 , 909.0304
Aye , e , 430 , 1418327436441 , 770.601 , 911.1701
Aye , e , 430 , 1418327436510 , 771.3023 , 917.0034
Aye , e , 430 , 1418327436555 , 763.5117 , 909.3939
Aye , e , 430 , 1418327436590 , 765.9659 , 906.2997
there , h , 434 , 1418327436624 , 856.4767 , 890.8317
there , r , 436 , 1418327436659 , 912.4183 , 884.7063
rub , u , 446 , 1418327436694 , 1140.7427 , 856.5355
rub , u , 446 , 1418327436739 , 1151.4886 , 865.5527
rub , u , 446 , 1418327436774 , 1144.4001 , 869.9177
rub , u , 446 , 1418327436809 , 1140.399 , 869.9395
rub , u , 446 , 1418327436844 , 1140.1261 , 861.3794
rub , u , 446 , 1418327436890 , 1140.3683 , 862.5126
rub , u , 446 , 1418327436926 , 1142.5151 , 863.5842
rub , u , 446 , 1418327436961 , 1143.6084 , 863.6734
rub , u , 446 , 1418327436995 , 1144.1089 , 864.6763
rub , u , 446 , 1418327437030 , 1141.6211 , 864.6123
rub , r , 445 , 1418327437065 , 1139.7255 , 867.5911
rub , r , 445 , 1418327437112 , 1135.6749 , 867.7823
rub , r , 445 , 1418327437146 , 1136.1207 , 867.6195
rub , r , 445 , 1418327437181 , 1135.375 , 867.8874
rub , r , 445 , 1418327437216 , 1133.7955 , 867.2998
Tis , T , 336 , 1418327437296 , 573.6888 , 673.1509
Tis , T , 336 , 1418327437331 , 571.3629 , 669.2537
Tis , T , 336 , 1418327437367 , 572.909 , 667.9742
Tis , T , 336 , 1418327437401 , 571.3794 , 669.8595
Tis , T , 336 , 1418327437436 , 569.5488 , 669.4547
to , o , 419 , 1418327437481 , 503.2952 , 861.4662
Calamity , i , 604 , 1418327437516 , 383.8322 , 1271.8834
Calamity , t , 605 , 1418327437551 , 418.7337 , 1301.6958
bear , r , 643 , 1418327437664 , 416.003 , 1334.7271
bear , e , 641 , 1418327437699 , 349.7266 , 1353.2253
bear , a , 642 , 1418327437733 , 376.8372 , 1322.4445
Calamity , m , 603 , 1418327437768 , 348.3163 , 1249.299
pause , a , 561 , 1418327437812 , 338.2554 , 1209.153
pause , a , 561 , 1418327437846 , 334.6666 , 1197.8436
pause , a , 561 , 1418327437881 , 330.6169 , 1188.2205
pause , p , 560 , 1418327437916 , 322.8779 , 1145.1168
pause , p , 560 , 1418327437961 , 319.3308 , 1148.6494
pause , p , 560 , 1418327438030 , 302.0487 , 1179.7911
