To  T 1416675359011
be,  b 1416675359229
not    1416675359438
to  o 1416675359645
be,  e 1416675359846
be,  , 1416675360060
Ben  t 1416675360276
that  h 1416675360497
﻿To  ﻿ 1416675382098
﻿To  o 1416675382425
be,  e 1416675382627
or    1416675382836
or  r 1416675383042
not  n 1416675383244
not  n 1416675383556
to  t 1416675383765
to  o 1416675383975
be,  b 1416675384182
be,  e 1416675384598
Ben  h 1416675384807
that  a 1416675385013
is    1416675385217
is  s 1416675385423
the  t 1416675385629
the  e 1416675385837
the  e 1416675386047
question—  q 1416675386256
question—  e 1416675386461
question—  o 1416675386669
question—  n 1416675386875
