coil,  o 1416673327055
﻿To  T 1416673328597
be,  b 1416673328813
or    1416673329019
not  o 1416673329224
to  t 1416673329432
be,    1416673329660
be,  e 1416673329864
be,  e 1416673330093
Ben  h 1416673330296
the    1416673330502
the  e 1416673330708
question—    1416673330950
question—  q 1416673331207
Nobler  l 1416673331420
question—
Whether  t 1416673331637
question—
Whether  h 1416673331849
'tis  ' 1416673332057
Nobler  N 1416673332384
in  i 1416673332591
mind  m 1416673332795
to  t 1416673333006
suffer    1416673333210
suffer  u 1416673333416
Arms  A 1416673333630
Fortune,
Or  O 1416673333832
suffer
The  h 1416673334047
and  n 1416673334252
Arms  s 1416673334500
outrageous  o 1416673334704
outrageous  e 1416673334911
outrageous  o 1416673335119
by  y 1416673335323
Fortune,
Or  
 1416673335530
to    1416673335748
take  t 1416673335955
take  k 1416673336160
Ben  A 1416673336366
against  a 1416673336572
end  d 1416673336777
end  d 1416673337352
Sea    1416673337555
of    1416673337771
them?  h 1416673337979
them?  e 1416673338180
To  T 1416673338390
die,  d 1416673338762
sleep—  s 1416673338994
sleep—  p 1416673339198
end  d 1416673339404
end    1416673339614
end  n 1416673339837
opposing,  o 1416673340040
more;  r 1416673340256
by    1416673340471
sleep,  l 1416673340685
to  t 1416673340889
say    1416673341096
say  s 1416673341304
say  s 1416673341557
say  y 1416673341759
die,  e 1416673341965
Ben  t 1416673342182
to  o 1416673342401
to  o 1416673342976
Sea  a 1416673343180
them?  h 1416673343385
end  d 1416673343595
sleep,  e 1416673343802
sleep,  , 1416673344011
to  t 1416673344219
say  s 1416673344428
say  y 1416673344636
Ben  e 1416673344843
we  e 1416673346694
say    1416673346899
sleep,  , 1416673347104
sleep,  e 1416673347360
sleep,  e 1416673347563
to  t 1416673347773
say  y 1416673347976
Ben  e 1416673348184
end  n 1416673348392
wished.  . 1416673350371
To  o 1416673350616
die,  d 1416673350828
Ben  t 1416673351038
sleep,    1416673351242
