sleep , p , 219 , 1418166494362 , 1010.3663 , 396.9738
troubles , r , 167 , 1418166494399 , 809.5448 , 321.7686
outrageous , a , 116 , 1418166494433 , 705.816 , 297.6412
of , o , 109 , 1418166494515 , 524.6153 , 281.7516
Arrows , s , 107 , 1418166494550 , 476.2838 , 280.7264
Arms , r , 145 , 1418166494584 , 285.4067 , 300.1519
and , d , 100 , 1418166494619 , 311.6684 , 271.1205
and , d , 100 , 1418166494654 , 308.6022 , 270.9257
and , d , 100 , 1418166494700 , 315.6064 , 273.0019
and , d , 100 , 1418166494734 , 308.5886 , 276.0585
and , d , 100 , 1418166494770 , 306.1534 , 280.8387
and , d , 100 , 1418166494805 , 306.2683 , 282.1017
and , d , 100 , 1418166494841 , 306.08 , 281.9539
and , d , 100 , 1418166494886 , 304.4692 , 282.951
and , d , 100 , 1418166494922 , 305.2337 , 285.1113
and , d , 100 , 1418166494957 , 314.6503 , 294.4115
sleep , l , 242 , 1418166494994 , 447.6937 , 512.9431
sleep , l , 242 , 1418166495028 , 445.1301 , 549.617
sleep , l , 242 , 1418166495064 , 460.936 , 553.9269
sleep , l , 242 , 1418166495099 , 461.5793 , 546.5317
sleep , s , 241 , 1418166495144 , 432.8508 , 538.711
a , a , 239 , 1418166495215 , 380.8035 , 531.9916
by , y , 237 , 1418166495286 , 347.4855 , 530.6089
by , y , 237 , 1418166495321 , 338.6681 , 528.5012
by , y , 237 , 1418166495366 , 329.2839 , 524.2664
by , b , 236 , 1418166495401 , 320.7622 , 524.703
jjj , d , 234 , 1418166495475 , 274.4313 , 524.669
and , d , 234 , 1418166495510 , 273.0466 , 508.7865
and , d , 234 , 1418166495581 , 275.3674 , 502.1216
and , d , 234 , 1418166495804 , 275.8493 , 511.8013
and , d , 234 , 1418166495840 , 273.2766 , 513.9353
and , d , 234 , 1418166495875 , 273.2272 , 518.7877
and , d , 234 , 1418166495921 , 270.7247 , 522.1733
and , d , 234 , 1418166495956 , 269.2942 , 523.2599
and , d , 234 , 1418166495991 , 269.7324 , 525.8295
and , d , 234 , 1418166496026 , 268.3598 , 527.1666
and , d , 234 , 1418166496061 , 262.4715 , 528.1157
and , d , 234 , 1418166496096 , 257.3769 , 527.6663
and , d , 234 , 1418166496142 , 252.7944 , 530.0441
and , n , 233 , 1418166496177 , 247.9401 , 532.0302
and , d , 234 , 1418166496212 , 253.2977 , 534.517
and , d , 234 , 1418166496248 , 255.7711 , 535.8246
and , d , 234 , 1418166496283 , 257.9865 , 535.2418
and , d , 234 , 1418166496328 , 260.7484 , 535.0493
and , d , 234 , 1418166496363 , 262.7867 , 533.7873
and , d , 234 , 1418166496400 , 258.6492 , 535.454
more , o , 227 , 1418166496436 , 88.2514 , 542.2584
more , o , 227 , 1418166496472 , 86.4208 , 526.0586
more , o , 227 , 1418166496509 , 90.4184 , 533.4692
more , o , 227 , 1418166496546 , 87.2373 , 537.2396
more , o , 227 , 1418166496583 , 86.4754 , 539.2812
more , m , 226 , 1418166496619 , 83.4468 , 541.4449
more , m , 226 , 1418166496655 , 83.9004 , 543.5715
more , o , 227 , 1418166496691 , 84.1618 , 541.0861
more , m , 226 , 1418166496737 , 82.1233 , 539.7972
more , o , 227 , 1418166496772 , 84.0578 , 539.6805
more , m , 226 , 1418166496807 , 80.5926 , 545.3954
more , m , 226 , 1418166496843 , 79.8595 , 547.9272
more , m , 226 , 1418166496878 , 79.45 , 548.7979
more , m , 226 , 1418166496914 , 82.0075 , 547.3491
more , o , 227 , 1418166496950 , 86.3876 , 546.2652
more , o , 227 , 1418166496986 , 90.5676 , 544.9786
more , o , 227 , 1418166497022 , 91.5098 , 543.1342
more , o , 227 , 1418166497067 , 95.7806 , 541.3489
