Natural , u , 299 , 1417382432094 , 1063.0029 , 826.2139
Natural , l , 302 , 1417382432165 , 1164.7667 , 824.5072
shocks , h , 305 , 1417382432247 , 1218.6996 , 820.5503
shocks , h , 305 , 1417382432282 , 1220.8214 , 810.366
shocks , o , 306 , 1417382432317 , 1283.9214 , 842.5565
say , s , 251 , 1417382433430 , 802.0801 , 741.5619
say , a , 252 , 1417382433645 , 807.8817 , 739.697
say , a , 252 , 1417382433682 , 825.8165 , 686.4161
say , s , 251 , 1417382433736 , 788.9242 , 717.3185
Nobler , b , 59 , 1417382435425 , 446.4124 , 243.3527
Nobler , b , 59 , 1417382435461 , 448.8071 , 239.5785
question , e , 35 , 1417382435530 , 851.2268 , 107.8206
question , s , 36 , 1417382435578 , 891.3718 , 87.416
question , e , 35 , 1417382435614 , 870.7146 , 91.3317
question , s , 36 , 1417382435649 , 889.2177 , 95.0775
question , s , 36 , 1417382435685 , 894.4141 , 107.9452
question , s , 36 , 1417382435721 , 902.0407 , 113.4041
is , s , 27 , 1417382436052 , 655.9297 , 108.8917
is , s , 27 , 1417382436088 , 653.0497 , 99.5068
is , s , 27 , 1417382436123 , 648.4168 , 113.9322
the , t , 29 , 1417382436168 , 697.6849 , 122.3332
mind , m , 71 , 1417382436205 , 764.1372 , 209.0299
question , s , 36 , 1417382436313 , 888.9775 , 120.1184
question , e , 35 , 1417382436348 , 878.5495 , 119.9723
ache , e , 276 , 1417382436501 , 393.7683 , 834.3246
ache , e , 276 , 1417382436538 , 384.4483 , 849.2287
ache , e , 276 , 1417382436573 , 384.5249 , 840.7438
ache , e , 276 , 1417382436608 , 380.0743 , 836.6122
ache , h , 275 , 1417382436644 , 376.8786 , 839.507
ache , h , 275 , 1417382436682 , 371.0508 , 839.9144
ache , h , 275 , 1417382436717 , 372.2328 , 838.8018
ache , h , 275 , 1417382436753 , 376.6241 , 833.9829
ache , h , 275 , 1417382436799 , 376.6314 , 837.7911
ache , h , 275 , 1417382436936 , 379.9771 , 833.8315
ache , h , 275 , 1417382436980 , 377.1084 , 827.3032
ache , h , 275 , 1417382437015 , 378.6711 , 824.4474
ache , h , 275 , 1417382437050 , 372.7942 , 822.3346
ache , h , 275 , 1417382437085 , 371.2325 , 822.0536
ache , h , 275 , 1417382437131 , 373.8388 , 818.6939
ache , h , 275 , 1417382437165 , 378.8686 , 817.5728
ache , h , 275 , 1417382437201 , 379.3154 , 814.7689
ache , e , 276 , 1417382437236 , 381.1458 , 814.5156
ache , h , 275 , 1417382437273 , 378.7758 , 808.4118
Arrows , r , 104 , 1417382437721 , 498.5905 , 327.0764
Nobler , e , 61 , 1417382437758 , 487.3754 , 205.1031
Arrows , o , 105 , 1417382437900 , 525.9933 , 318.6401
of , o , 109 , 1417382437946 , 649.6473 , 353.2239
Arrows , s , 107 , 1417382437982 , 583.3767 , 354.5327
be , e , 20 , 1417382439242 , 488.7829 , 64.2099
be , e , 20 , 1417382439278 , 480.1544 , 71.1005
be , e , 20 , 1417382439313 , 490.6805 , 71.4237
be , e , 20 , 1417382439351 , 479.2118 , 82.754
be , e , 20 , 1417382439387 , 474.0181 , 77.7003
or , r , 10 , 1417382439459 , 221.8645 , 64.0455
To , o , 3 , 1417382439717 , 41.117 , 75.3933
be , e , 6 , 1417382439979 , 132.276 , 63.3644
be , e , 6 , 1417382440015 , 134.4095 , 65.3457
name , n , 12 , 1417382440307 , 287.3215 , 119.4033
or , r , 10 , 1417382441235 , 232.5877 , 123.7666
or , o , 9 , 1417382441270 , 188.4508 , 75.1881
or , r , 10 , 1417382441457 , 218.1771 , 122.0615
or , r , 10 , 1417382441527 , 225.166 , 120.8787
