Arrows , o , 105 , 1417467419479 , 538.6729 , 273.1449
tis , i , 54 , 1417467419513 , 298.75 , 184.5128
tis , i , 54 , 1417467419559 , 298.0743 , 184.0853
tis , i , 54 , 1417467419594 , 289.1001 , 183.4843
tis , i , 54 , 1417467419629 , 290.3514 , 181.4841
tis , i , 54 , 1417467419684 , 287.7597 , 180.1244
tis , i , 54 , 1417467419815 , 288.7794 , 179.5792
tis , i , 54 , 1417467419850 , 285.3229 , 178.3024
tis , t , 53 , 1417467419885 , 284.2928 , 177.0021
tis , i , 54 , 1417467419920 , 293.8685 , 179.9625
of , o , 109 , 1417467419967 , 671.8876 , 259.2518
Nobler , r , 62 , 1417467420141 , 553.8778 , 260.8937
be , b , 5 , 1417467420223 , 108.4897 , 122.417
Whether , t , 47 , 1417467420584 , 84.5339 , 131.0001
Whether , t , 47 , 1417467420630 , 92.4987 , 132.3064
Whether , t , 47 , 1417467420665 , 99.0806 , 133.8745
be , b , 5 , 1417467420700 , 106.8832 , 135.7233
be , b , 5 , 1417467420734 , 111.6414 , 138.1599
be , b , 5 , 1417467420780 , 116.0416 , 140.0401
tis , s , 55 , 1417467420814 , 344.3671 , 158.6777
not , o , 13 , 1417467420849 , 346.7221 , 145.9741
not , n , 12 , 1417467420884 , 341.7725 , 146.6937
is , i , 26 , 1417467421071 , 735.5713 , 112.1871
the , e , 31 , 1417467421406 , 911.1227 , 143.9633
the , e , 31 , 1417467421659 , 910.3381 , 136.3309
the , e , 31 , 1417467421694 , 898.2803 , 136.0608
the , e , 31 , 1417467421740 , 895.7609 , 135.6966
suffer , f , 82 , 1417467421775 , 1131.9768 , 167.1017
question , i , 38 , 1417467421810 , 1116.6313 , 145.9882
suffer , f , 81 , 1417467421844 , 1112.1641 , 156.481
suffer , f , 81 , 1417467421889 , 1119.2421 , 164.2033
suffer , f , 81 , 1417467421925 , 1122.7474 , 163.9794
suffer , f , 81 , 1417467421960 , 1118.6373 , 160.6399
the , t , 67 , 1417467421995 , 691.5817 , 162.4788
Whether , r , 50 , 1417467422074 , 188.5503 , 252.803
Whether , r , 50 , 1417467422109 , 174.1278 , 254.8812
Whether , e , 49 , 1417467422145 , 164.3642 , 258.5803
Whether , e , 49 , 1417467422180 , 158.8161 , 261.0808
Slings , S , 91 , 1417467422216 , 130.3394 , 269.9991
Whether , h , 48 , 1417467422250 , 116.2949 , 244.1701
Whether , e , 49 , 1417467422296 , 135.5968 , 262.3825
Whether , e , 49 , 1417467422331 , 139.0389 , 264.8528
Slings , l , 92 , 1417467422366 , 135.4945 , 268.0369
Whether , r , 50 , 1417467422400 , 173.5271 , 265.3903
Slings , n , 94 , 1417467422445 , 198.7834 , 264.3079
Slings , n , 94 , 1417467422480 , 214.5714 , 263.938
Slings , g , 95 , 1417467422516 , 225.878 , 263.2107
Slings , g , 95 , 1417467422552 , 235.9559 , 261.5044
Slings , g , 95 , 1417467422586 , 243.1317 , 261.5895
Slings , g , 95 , 1417467422621 , 252.8612 , 259.7717
Nobler , b , 59 , 1417467422667 , 464.6869 , 222.7516
Nobler , b , 59 , 1417467422702 , 455.3385 , 239.5578
