To , T , 2 , 1417467507230 , 81.5362 , 111.5794
To , T , 2 , 1417467507265 , 64.0035 , 93.6698
To , T , 2 , 1417467507301 , 49.0131 , 82.0124
To , T , 2 , 1417467507348 , 47.7917 , 75.7362
To , T , 2 , 1417467507418 , 49.7336 , 75.312
To , T , 2 , 1417467507457 , 48.6897 , 78.6073
To , T , 2 , 1417467507496 , 48.3645 , 78.9194
To , T , 2 , 1417467507533 , 48.0333 , 78.0784
To , T , 2 , 1417467507568 , 47.3854 , 78.4103
To , T , 2 , 1417467507605 , 48.7173 , 77.3908
To , T , 2 , 1417467507648 , 48.4399 , 75.5244
To , T , 2 , 1417467507790 , 49.5092 , 74.8533
name , o , 9 , 1417467508860 , 495.106 , 164.9634
or , o , 9 , 1417467508895 , 499.4139 , 172.9888
or , o , 9 , 1417467508929 , 499.8876 , 164.8181
or , o , 9 , 1417467508976 , 502.301 , 172.6135
or , o , 9 , 1417467509013 , 499.1342 , 174.2849
or , o , 9 , 1417467509049 , 497.7126 , 171.461
or , o , 9 , 1417467509084 , 500.6728 , 168.5202
or , o , 9 , 1417467509120 , 503.2853 , 171.6735
or , o , 9 , 1417467509219 , 503.628 , 171.8868
or , o , 9 , 1417467509307 , 505.3957 , 174.0433
To , o , 3 , 1417467509679 , 147.3008 , 176.1694
To , o , 3 , 1417467509714 , 138.7983 , 177.5633
To , o , 3 , 1417467509863 , 134.3214 , 175.6769
To , o , 3 , 1417467509898 , 132.5527 , 175.5535
To , o , 3 , 1417467509932 , 132.1502 , 175.3963
To , o , 3 , 1417467509967 , 130.1327 , 174.8287
To , o , 3 , 1417467510002 , 130.0317 , 175.5253
To , o , 3 , 1417467510047 , 129.5165 , 175.546
To , o , 3 , 1417467510084 , 127.9746 , 175.9978
To , o , 3 , 1417467510119 , 128.4692 , 176.6522
be , e , 6 , 1417467510189 , 315.8625 , 146.1717
be , e , 6 , 1417467510234 , 306.6047 , 142.7755
be , e , 6 , 1417467510269 , 314.7841 , 150.9351
be , e , 6 , 1417467510304 , 311.1013 , 153.1908
be , e , 6 , 1417467510339 , 313.7568 , 152.2596
be , e , 6 , 1417467510385 , 315.4907 , 159.0584
be , e , 6 , 1417467510524 , 316.8107 , 157.5803
name , r , 10 , 1417467510560 , 541.6987 , 160.5158
or , r , 10 , 1417467510594 , 546.5519 , 168.6145
or , r , 10 , 1417467510640 , 549.5187 , 157.7142
or , r , 10 , 1417467510675 , 551.0373 , 149.8241
or , r , 10 , 1417467510710 , 554.4039 , 153.2521
or , r , 10 , 1417467510745 , 554.2427 , 158.1425
or , r , 10 , 1417467510780 , 558.9073 , 159.0246
or , r , 10 , 1417467510825 , 558.9462 , 156.3657
to , o , 17 , 1417467511083 , 967.5919 , 115.8625
to , o , 17 , 1417467511118 , 962.3406 , 144.1198
to , o , 17 , 1417467511152 , 947.1977 , 149.4707
to , o , 17 , 1417467511188 , 946.2689 , 144.4902
to , o , 17 , 1417467511234 , 947.803 , 140.8193
to , o , 17 , 1417467511269 , 948.2366 , 139.642
to , o , 17 , 1417467511304 , 960.1743 , 142.6313
to , o , 17 , 1417467511338 , 967.7673 , 142.0096
to , o , 17 , 1417467511373 , 970.2999 , 142.1283
to , o , 17 , 1417467511409 , 973.9701 , 143.4492
to , o , 17 , 1417467511454 , 978.5334 , 141.3254
be , e , 20 , 1417467511525 , 1168.8772 , 162.7036
be , e , 20 , 1417467511560 , 1166.5157 , 164.3081
name , t , 23 , 1417467511817 , 1291.0527 , 171.9708
to , t , 23 , 1417467511862 , 1300.9269 , 173.433
to , t , 23 , 1417467511898 , 1307.6859 , 173.2618
to , t , 23 , 1417467511933 , 1314.2837 , 173.1742
to , t , 23 , 1417467511969 , 1317.7998 , 172.5873
to , t , 23 , 1417467512005 , 1320.725 , 175.6371
to , t , 23 , 1417467512040 , 1324.3159 , 176.5628
to , t , 23 , 1417467512075 , 1325.7528 , 177.685
to , o , 24 , 1417467512119 , 1360.5916 , 171.0244
to , t , 23 , 1417467512154 , 1340.2505 , 190.0761
to , o , 24 , 1417467512189 , 1355.1885 , 185.2645
to , o , 24 , 1417467512225 , 1369.8586 , 188.6369
to , o , 24 , 1417467512260 , 1378.304 , 189.0264
to , o , 24 , 1417467512306 , 1381.0277 , 186.9854
to , o , 24 , 1417467512341 , 1384.6858 , 188.4013
to , o , 24 , 1417467512377 , 1385.6415 , 187.0427
to , o , 24 , 1417467512412 , 1388.1785 , 186.1948
to , t , 16 , 1417467512446 , 877.373 , 225.7393
Whether , t , 48 , 1417467512527 , 208.8342 , 313.4388
Whether , t , 48 , 1417467512561 , 180.957 , 324.2979
Whether , t , 48 , 1417467512595 , 164.2253 , 331.4594
Whether , t , 48 , 1417467512629 , 158.657 , 339.0223
Whether , h , 46 , 1417467512675 , 75.8814 , 395.6633
Whether , h , 46 , 1417467512711 , 47.0924 , 383.3695
Whether , h , 46 , 1417467512746 , 64.0071 , 383.3311
Whether , h , 46 , 1417467512781 , 55.7116 , 389.423
Whether , h , 46 , 1417467512816 , 58.5391 , 395.0078
Whether , h , 46 , 1417467512851 , 62.0563 , 396.3433
Whether , h , 46 , 1417467512896 , 82.1585 , 394.2427
tis , t , 54 , 1417467513268 , 510.2155 , 341.5326
tis , t , 54 , 1417467513303 , 520.9059 , 341.8722
Nobler , l , 61 , 1417467513343 , 989.4359 , 332.2828
Nobler , e , 62 , 1417467513377 , 1015.1383 , 312.787
Nobler , e , 62 , 1417467513414 , 1012.1425 , 310.6169
Nobler , e , 62 , 1417467513450 , 1020.882 , 311.9943
Nobler , e , 62 , 1417467513485 , 1021.3229 , 316.0717
Nobler , e , 62 , 1417467513521 , 1018.7187 , 313.7241
the , t , 68 , 1417467513602 , 1381.5676 , 376.6459
the , t , 68 , 1417467513638 , 1375.3027 , 383.2132
the , t , 68 , 1417467513672 , 1367.3947 , 391.1055
the , t , 68 , 1417467513707 , 1370.7922 , 386.2591
the , t , 68 , 1417467513742 , 1368.2747 , 387.9058
the , t , 68 , 1417467513787 , 1369.5652 , 388.4139
the , t , 68 , 1417467513821 , 1370.3438 , 387.107
the , t , 68 , 1417467513856 , 1369.2518 , 385.4919
the , t , 68 , 1417467513890 , 1378.053 , 387.0766
the , t , 68 , 1417467513926 , 1385.5314 , 388.3295
the , t , 68 , 1417467513971 , 1391.2286 , 389.9291
the , t , 68 , 1417467514006 , 1395.2911 , 390.1313
Nobler , N , 58 , 1417467514041 , 759.7152 , 400.7025
Slings , S , 92 , 1417467514077 , 251.5528 , 572.6222
Slings , S , 92 , 1417467514111 , 241.0685 , 568.2205
Slings , S , 92 , 1417467514157 , 241.7439 , 586.3326
Slings , S , 92 , 1417467514192 , 230.6508 , 586.1988
The , h , 89 , 1417467514261 , 60.8574 , 581.0803
