end , e , 194 , 1418325024267 , 409.7794 , 441.5742
end , e , 194 , 1418325024292 , 408.987 , 441.1416
Arrows , s , 107 , 1418325024338 , 486.4367 , 267.9551
Nobler , e , 61 , 1418325024482 , 397.5693 , 193.036
Nobler , b , 59 , 1418325024518 , 356.4191 , 192.3707
tis , t , 53 , 1418325024553 , 206.3164 , 194.2479
Slings , g , 95 , 1418325024589 , 198.7934 , 209.0438
Whether , r , 50 , 1418325024706 , 144.0961 , 199.3422
Whether , r , 50 , 1418325024743 , 134.5128 , 198.3682
Whether , e , 49 , 1418325024779 , 128.8072 , 197.6303
Whether , e , 49 , 1418325024814 , 124.0995 , 199.2301
Whether , e , 49 , 1418325024850 , 120.2969 , 200.005
Whether , e , 49 , 1418325024885 , 118.111 , 200.7343
Whether , e , 49 , 1418325024920 , 116.5077 , 202.0789
Whether , e , 49 , 1418325024965 , 115.6172 , 202.6845
Whether , e , 49 , 1418325025000 , 115.1817 , 201.6929
Whether , e , 49 , 1418325025036 , 113.0771 , 201.859
Whether , e , 49 , 1418325025070 , 111.4792 , 202.5567
Whether , e , 49 , 1418325025105 , 114.4113 , 206.3593
Slings , l , 92 , 1418325025150 , 118.0698 , 210.5686
Slings , l , 92 , 1418325025186 , 119.9157 , 214.1403
Slings , l , 92 , 1418325025221 , 122.7548 , 217.3736
Slings , l , 92 , 1418325025256 , 126.744 , 221.7271
the , t , 67 , 1418325025335 , 549.0464 , 165.2159
the , t , 67 , 1418325025370 , 553.3289 , 158.2315
the , t , 67 , 1418325025406 , 547.353 , 159.0262
the , t , 67 , 1418325025441 , 545.5389 , 153.8469
the , t , 67 , 1418325025478 , 544.8111 , 156.8747
Nobler , b , 59 , 1418325025550 , 370.3586 , 157.144
Nobler , o , 58 , 1418325025596 , 333.2448 , 159.2689
tis , i , 54 , 1418325025633 , 240.6316 , 162.9184
tis , t , 53 , 1418325025668 , 216.3247 , 162.6751
Whether , r , 50 , 1418325025773 , 146.3795 , 170.9942
Whether , r , 50 , 1418325025817 , 146.4446 , 165.4539
Whether , r , 50 , 1418325025851 , 149.4258 , 168.0443
Whether , r , 50 , 1418325025887 , 147.7964 , 165.8043
Whether , r , 50 , 1418325025923 , 148.6226 , 168.9624
in , i , 64 , 1418325026039 , 468.0421 , 122.3164
Nobler , r , 62 , 1418325026365 , 440.8357 , 135.2023
Nobler , r , 62 , 1418325026400 , 432.5155 , 135.093
Whether , r , 50 , 1418325026444 , 134.265 , 144.0773
Whether , h , 48 , 1418325026480 , 107.4927 , 132.6003
Whether , e , 49 , 1418325026515 , 109.6944 , 131.5895
Whether , h , 48 , 1418325026551 , 101.4877 , 129.4813
Whether , h , 48 , 1418325026586 , 97.5211 , 129.4722
Whether , h , 48 , 1418325026622 , 95.1397 , 125.9378
Whether , h , 48 , 1418325026668 , 94.7856 , 124.5913
Whether , h , 48 , 1418325026702 , 91.4318 , 121.1252
Whether , h , 48 , 1418325026737 , 91.3836 , 118.8007
Whether , h , 48 , 1418325026771 , 99.4262 , 118.0417
be , e , 20 , 1418325026817 , 453.6307 , 53.851
be , e , 20 , 1418325026851 , 445.6209 , 59.3413
be , e , 20 , 1418325026887 , 446.7069 , 61.0832
be , e , 20 , 1418325026922 , 446.1537 , 70.9243
be , b , 19 , 1418325027073 , 429.7729 , 66.638
be , b , 19 , 1418325027106 , 431.4885 , 59.0596
