of , o , 109 , 1418327508794 , 523.2685 , 268.0305
of , o , 109 , 1418327508830 , 523.4323 , 269.778
of , o , 109 , 1418327508875 , 522.3361 , 271.3082
of , o , 109 , 1418327508911 , 520.6865 , 272.5733
of , o , 109 , 1418327508947 , 520.4665 , 271.9887
of , o , 109 , 1418327508982 , 521.2568 , 273.5842
of , o , 109 , 1418327509019 , 519.5281 , 273.5483
of , o , 109 , 1418327509053 , 518.2502 , 274.4067
of , o , 109 , 1418327509089 , 519.5491 , 276.9311
of , o , 109 , 1418327509135 , 519.7991 , 278.5201
of , o , 109 , 1418327509170 , 519.1009 , 278.7822
To , o , 3 , 1418327509429 , 40.1429 , 66.2336
To , T , 2 , 1418327509464 , 35.5711 , 75.8045
To , T , 2 , 1418327509499 , 34.0874 , 79.0384
To , T , 2 , 1418327509533 , 30.0957 , 78.9953
To , T , 2 , 1418327509578 , 30.5526 , 80.3285
To , T , 2 , 1418327509613 , 29.3283 , 81.1543
To , T , 2 , 1418327509649 , 27.8111 , 81.8573
To , T , 2 , 1418327509683 , 23.6984 , 74.8938
To , T , 2 , 1418327509718 , 23.0318 , 68.426
To , T , 2 , 1418327509765 , 21.3689 , 65.1897
To , T , 2 , 1418327509800 , 19.3038 , 62.0213
to , o , 17 , 1418327509871 , 395.5486 , 31.8358
question , s , 36 , 1418327510532 , 847.6906 , 27.233
or , r , 10 , 1418327510648 , 207.8041 , 113.1358
Whether , h , 48 , 1418327510683 , 95.9634 , 127.5853
Whether , t , 47 , 1418327510717 , 61.9279 , 135.8566
Whether , e , 46 , 1418327510763 , 44.7441 , 143.1279
Whether , h , 45 , 1418327510797 , 34.1534 , 147.087
Whether , W , 44 , 1418327510832 , -11.891 , 164.1353
Whether , W , 44 , 1418327510866 , 4.9093 , 164.7303
Whether , e , 49 , 1418327510901 , 125.3891 , 130.5368
to , t , 16 , 1418327511123 , 369.3838 , 111.9689
be , b , 19 , 1418327511205 , 442.3259 , 105.3135
be , e , 20 , 1418327511240 , 453.3828 , 103.3582
to , o , 24 , 1418327511460 , 541.8724 , 106.1655
to , t , 76 , 1418327511540 , 756.0477 , 120.7506
question , q , 33 , 1418327511575 , 756.6837 , 110.8454
question , u , 34 , 1418327511644 , 787.3091 , 104.4149
question , e , 35 , 1418327511679 , 809.1466 , 101.534
question , e , 35 , 1418327511723 , 824.7047 , 99.7843
question , s , 36 , 1418327511758 , 835.5701 , 99.5048
question , s , 36 , 1418327511793 , 843.7141 , 98.2449
in , n , 65 , 1418327511827 , 497.1002 , 127.7431
tis , s , 55 , 1418327511874 , 255.4117 , 193.5717
tis , t , 53 , 1418327511908 , 214.5436 , 201.7531
The , e , 89 , 1418327512127 , 46.2306 , 219.7016
The , e , 89 , 1418327512162 , 43.1958 , 214.8761
The , e , 89 , 1418327512206 , 39.6818 , 212.5975
The , e , 89 , 1418327512242 , 41.4537 , 210.6991
Nobler , b , 59 , 1418327512277 , 366.8409 , 189.1397
Nobler , b , 59 , 1418327512312 , 365.9473 , 183.7
Nobler , b , 59 , 1418327512346 , 364.89 , 178.581
Nobler , b , 59 , 1418327512392 , 364.3542 , 183.0605
Nobler , b , 59 , 1418327512428 , 364.5648 , 184.6574
Nobler , l , 60 , 1418327512462 , 395.0345 , 190.2275
the , e , 69 , 1418327512497 , 607.7708 , 179.1103
the , e , 69 , 1418327512531 , 600.5879 , 163.6298
the , e , 69 , 1418327512566 , 606.4791 , 170.2578
the , e , 69 , 1418327512612 , 606.7542 , 173.8033
the , e , 69 , 1418327512647 , 607.9725 , 179.419
the , e , 69 , 1418327512683 , 605.3286 , 172.8841
the , e , 69 , 1418327512718 , 605.08 , 174.2869
to , o , 77 , 1418327512754 , 798.7149 , 160.7561
suffer , f , 82 , 1418327512788 , 913.3308 , 180.5125
suffer , f , 82 , 1418327512834 , 916.0951 , 172.9488
suffer , f , 82 , 1418327512869 , 915.0596 , 172.7383
suffer , f , 82 , 1418327512903 , 914.5344 , 174.3131
suffer , f , 82 , 1418327512937 , 914.932 , 171.6835
suffer , f , 82 , 1418327512984 , 916.0631 , 176.0135
suffer , f , 82 , 1418327513019 , 916.9308 , 178.2259
suffer , f , 82 , 1418327513053 , 916.0333 , 177.7216
Arrows , o , 105 , 1418327513123 , 421.008 , 223.1921
Arrows , o , 105 , 1418327513168 , 424.915 , 232.0429
Arrows , o , 105 , 1418327513203 , 431.5917 , 236.7315
Arrows , o , 105 , 1418327513238 , 430.3347 , 237.4948
Arrows , o , 105 , 1418327513273 , 428.3558 , 237.309
Arrows , o , 105 , 1418327513319 , 428.6868 , 236.6952
Arrows , o , 105 , 1418327513354 , 429.9131 , 237.8675
Arrows , o , 105 , 1418327513389 , 430.5914 , 237.6834
Arrows , o , 105 , 1418327513424 , 443.1361 , 231.9325
Arrows , w , 106 , 1418327513459 , 454.063 , 225.4012
Arrows , w , 106 , 1418327513493 , 461.4843 , 221.9222
Arrows , s , 107 , 1418327513539 , 468.625 , 218.6089
Arrows , s , 107 , 1418327513573 , 473.7355 , 215.5341
Arrows , s , 107 , 1418327513607 , 480.2418 , 212.2154
Arrows , s , 107 , 1418327513641 , 485.8276 , 209.5132
Arrows , s , 107 , 1418327513686 , 490.9025 , 207.99
in , n , 65 , 1418327513721 , 496.2899 , 206.6727
in , n , 65 , 1418327513755 , 500.2014 , 204.1437
in , n , 65 , 1418327513791 , 503.7419 , 203.1891
in , n , 65 , 1418327513825 , 507.9753 , 202.4928
in , n , 65 , 1418327513871 , 512.353 , 202.2126
in , n , 65 , 1418327513905 , 515.2274 , 201.4954
of , o , 109 , 1418327514610 , 537.5419 , 209.0129
of , o , 109 , 1418327514644 , 537.7257 , 215.1382
