outrageous , u , 113 , 1418335568066 , 617.7015 , 237.2089
outrageous , u , 113 , 1418335568103 , 613.3253 , 231.4318
outrageous , o , 112 , 1418335568138 , 609.3826 , 227.2167
to , o , 17 , 1418335568174 , 382.123 , 99.8593
not , t , 14 , 1418335568327 , 323.762 , 36.7688
not , t , 14 , 1418335568478 , 322.1017 , 37.148
be , e , 20 , 1418335570027 , 446.8538 , 53.1026
perchance , h , 412 , 1418335570062 , 346.939 , 926.8987
sleep , s , 463 , 1418335570097 , 289.388 , 993.6927
sleep , l , 464 , 1418335570132 , 302.2572 , 983.9326
sleep , s , 463 , 1418335570176 , 295.5274 , 981.8209
sleep , s , 463 , 1418335570211 , 294.8345 , 979.9474
sleep , s , 463 , 1418335570246 , 292.0785 , 976.025
Dream , e , 423 , 1418335570280 , 597.352 , 924.7857
s , s , 439 , 1418335570360 , 974.978 , 915.6868
s , s , 439 , 1418335570395 , 980.0628 , 906.0938
there , e , 437 , 1418335570509 , 945.8467 , 926.4575
outrageous , r , 115 , 1418335570543 , 681.2629 , 220.336
the , e , 69 , 1418335570623 , 592.9496 , 121.8912
is , i , 26 , 1418335570658 , 589.2889 , 110.6505
is , i , 26 , 1418335570693 , 597.1268 , 99.1525
The , T , 87 , 1418335570727 , 10.174 , 282.4795
the , e , 69 , 1418335570762 , 594.5493 , 133.5361
the , e , 69 , 1418335570808 , 598.0242 , 129.9088
the , e , 69 , 1418335570843 , 592.6086 , 141.5235
the , e , 69 , 1418335570878 , 604.7328 , 146.3617
the , e , 69 , 1418335570912 , 598.4942 , 125.5997
the , t , 29 , 1418335570992 , 678.1135 , 26.46
to , o , 17 , 1418335571096 , 384.0033 , 79.0433
Whether , r , 50 , 1418335571175 , 143.8941 , 205.2897
Whether , r , 50 , 1418335571210 , 152.8253 , 184.8937
Whether , r , 50 , 1418335571246 , 148.2264 , 150.1776
Whether , r , 50 , 1418335571281 , 144.2224 , 158.3531
Whether , r , 50 , 1418335571327 , 140.4684 , 159.3335
Whether , r , 50 , 1418335571362 , 145.2747 , 142.6829
or , o , 9 , 1418335571502 , 183.0825 , 101.9741
or , o , 9 , 1418335571547 , 189.5372 , 97.8577
or , o , 9 , 1418335571581 , 196.0403 , 92.0359
or , o , 9 , 1418335571614 , 201.6755 , 88.9048
or , r , 10 , 1418335571661 , 205.7084 , 87.7014
or , r , 10 , 1418335571696 , 208.5494 , 82.9597
or , r , 10 , 1418335571730 , 213.5507 , 82.2619
or , r , 10 , 1418335571765 , 216.1687 , 81.995
to , t , 16 , 1418335571800 , 369.5513 , 60.9176
question , q , 33 , 1418335572065 , 764.4275 , 92.1156
question , t , 37 , 1418335572100 , 860.7853 , 70.9933
question , t , 37 , 1418335572135 , 860.9625 , 74.6049
question , t , 37 , 1418335572171 , 856.111 , 79.287
question , s , 36 , 1418335572206 , 850.6943 , 71.7759
question , t , 37 , 1418335572241 , 852.4816 , 72.0516
question , s , 36 , 1418335572287 , 851.7137 , 66.8607
question , t , 37 , 1418335572322 , 856.6657 , 65.1883
question , t , 37 , 1418335572356 , 874.447 , 73.9569
be , b , 19 , 1418335572506 , 442.0618 , 103.1523
not , o , 13 , 1418335572576 , 277.8893 , 114.7403
Whether , h , 45 , 1418335572622 , 31.0089 , 125.8554
Whether , e , 46 , 1418335572656 , 42.8354 , 143.0243
Whether , e , 46 , 1418335572691 , 38.0304 , 145.9089
Whether , h , 45 , 1418335572725 , 35.9066 , 139.2532
Whether , t , 47 , 1418335572760 , 63.404 , 133.2407
Whether , h , 48 , 1418335572805 , 88.0767 , 130.3474
Whether , h , 48 , 1418335572840 , 103.5532 , 134.1164
Whether , e , 49 , 1418335572875 , 110.0846 , 138.1564
Whether , e , 49 , 1418335572911 , 114.301 , 135.3272
Whether , e , 49 , 1418335572956 , 117.9551 , 135.9458
Whether , e , 49 , 1418335572991 , 118.4455 , 135.1561
Whether , e , 49 , 1418335573026 , 122.3908 , 136.8729
Whether , e , 49 , 1418335573061 , 127.6457 , 140.2701
Whether , e , 49 , 1418335573096 , 128.8846 , 142.6272
Whether , r , 50 , 1418335573131 , 132.1638 , 144.9299
Nobler , o , 58 , 1418335573176 , 345.2055 , 175.7773
Nobler , N , 57 , 1418335573210 , 314.3131 , 162.8197
Nobler , N , 57 , 1418335573244 , 301.2403 , 151.0927
Nobler , N , 57 , 1418335573278 , 306.5287 , 151.6903
Nobler , N , 57 , 1418335573323 , 309.1136 , 156.9241
Nobler , N , 57 , 1418335573359 , 309.9414 , 160.8288
Nobler , N , 57 , 1418335573394 , 308.2193 , 167.0987
Nobler , N , 57 , 1418335573428 , 319.5823 , 164.7158
the , h , 68 , 1418335573463 , 576.2568 , 167.8199
the , h , 68 , 1418335573508 , 585.528 , 192.563
the , h , 68 , 1418335573543 , 580.4311 , 191.8429
the , h , 68 , 1418335573579 , 583.0184 , 192.3168
the , e , 69 , 1418335573613 , 607.0494 , 192.2935
mind , m , 71 , 1418335573692 , 643.7127 , 191.622
mind , m , 71 , 1418335573728 , 656.6751 , 187.0022
mind , i , 72 , 1418335573763 , 664.3216 , 187.698
suffer , r , 84 , 1418335573798 , 949.3188 , 189.3511
suffer , r , 84 , 1418335573913 , 965.5491 , 180.3109
suffer , r , 84 , 1418335573949 , 965.7227 , 177.9749
suffer , r , 84 , 1418335573983 , 970.7836 , 182.5142
suffer , r , 84 , 1418335574029 , 969.465 , 178.7857
suffer , r , 84 , 1418335574098 , 952.7363 , 184.9228
take , t , 139 , 1418335574132 , 133.8596 , 338.2225
Or , r , 134 , 1418335574167 , 25.5945 , 321.4338
Or , r , 134 , 1418335574212 , 35.1859 , 329.0124
to , t , 136 , 1418335574314 , 60.5349 , 332.6897
to , t , 136 , 1418335574359 , 69.7947 , 321.7611
to , t , 136 , 1418335574394 , 81.2577 , 318.8613
to , o , 137 , 1418335574428 , 86.3033 , 311.4247
to , o , 137 , 1418335574472 , 95.0454 , 311.5794
to , o , 137 , 1418335574507 , 99.1574 , 309.6986
to , o , 137 , 1418335574542 , 101.9233 , 308.3985
and , n , 99 , 1418335574577 , 295.6859 , 244.817
Arrows , s , 107 , 1418335574612 , 471.843 , 293.3238
Arrows , s , 107 , 1418335574657 , 478.7087 , 292.419
Arrows , s , 107 , 1418335574692 , 484.2297 , 297.2664
Arrows , s , 107 , 1418335574726 , 472.9546 , 285.5966
Arrows , s , 107 , 1418335574761 , 478.1632 , 282.7409
Arrows , o , 105 , 1418335574796 , 442.6628 , 262.557
against , i , 152 , 1418335574843 , 449.4331 , 305.0929
outrageous , o , 112 , 1418335574877 , 611.2689 , 292.8773
outrageous , t , 114 , 1418335574913 , 655.8424 , 287.028
outrageous , r , 115 , 1418335574947 , 681.1893 , 279.6087
outrageous , a , 116 , 1418335574982 , 699.7952 , 276.8299
outrageous , e , 118 , 1418335575027 , 749.0829 , 276.8271
outrageous , o , 119 , 1418335575063 , 765.4074 , 278.5095
outrageous , o , 119 , 1418335575098 , 766.46 , 275.4471
outrageous , o , 119 , 1418335575132 , 763.1786 , 270.345
outrageous , o , 119 , 1418335575167 , 763.9264 , 269.1568
outrageous , s , 121 , 1418335575203 , 827.8665 , 267.0632
them , e , 200 , 1418335575535 , 551.4927 , 404.4125
opposing , p , 185 , 1418335575580 , 190.6888 , 396.4948
opposing , p , 185 , 1418335575615 , 201.8628 , 425.6997
opposing , p , 185 , 1418335575649 , 199.9823 , 430.2769
opposing , p , 185 , 1418335575685 , 202.5707 , 429.4721
opposing , p , 185 , 1418335575731 , 202.1308 , 433.0355
opposing , p , 185 , 1418335575765 , 196.1027 , 421.7555
opposing , p , 185 , 1418335575800 , 181.7968 , 437.7716
opposing , p , 185 , 1418335575835 , 192.7316 , 422.1054
opposing , o , 187 , 1418335575870 , 231.7682 , 432.5252
opposing , i , 189 , 1418335575916 , 284.6523 , 419.9251
opposing , n , 190 , 1418335575951 , 315.6815 , 410.1809
opposing , g , 191 , 1418335575985 , 338.0666 , 401.9763
end , n , 195 , 1418335576020 , 443.5614 , 391.5946
to , o , 213 , 1418335576055 , 872.7261 , 394.6113
to , o , 213 , 1418335576100 , 871.8929 , 405.8682
