'tis  t 1416516874972
Nobler  o 1416516875175
Ben  e 1416516875378
Ben  B 1416516875582
Ben  B 1416516875785
Ben  n 1416516875988
Arrows  o 1416516877379
Arrows  w 1416516877591
Fortune,  o 1416516877792
Fortune,  e 1416516877996
Fortune,  e 1416516878199
Arms  A 1416516879253
against  i 1416516879489
Ben    1416516879676
Ben  n 1416516879879
Sea    1416516880098
Ben    1416516880306
Ben  n 1416516880510
Ben  n 1416516880713
Ben  n 1416516880914
Ben  n 1416516881173
Sea  S 1416516881931
Ben  e 1416516882515
Ben  e 1416516883293
    1416516883528
Ben  n 1416516883747
Ben  n 1416516883950
Ben  n 1416516884153
Ben  B 1416516884388
Ben    1416516884576
Ben    1416516888635
end    1416516888837
Ben  B 1416516889040
Ben  e 1416516889243
Ben  B 1416516889452
sleepâ€”  e 1416516889663
sleepâ€”  â 1416516889867
sleepâ€”  â 1416516890211
by  b 1416516892067
Ben    1416516892275
to  t 1416516892461
Ben  B 1416516892670
Ben  e 1416516892873
Ben  B 1416516893085
Ben  n 1416516893298
Ben  n 1416516893499
Natural  t 1416516893717
thousand  o 1416516893905
by    1416516894117
Ben    1416516894321
Ben  e 1416516894555
thousand  h 1416516894758
thousand  d 1416516894961
Natural  N 1416516895174
