Nobler  o 1417383932603
to  o 1417383990958
not  n 1417384000869
not  n 1417384000887
not  o 1417384000905
not  o 1417384000925
not  o 1417384000944
not  o 1417384000959
not  o 1417384000973
not  o 1417384000990
not  o 1417384001030
not  o 1417384001048
not  o 1417384001065
not  o 1417384001083
not  o 1417384001099
not  o 1417384001117
not  o 1417384001134
not  o 1417384001151
not  o 1417384001168
not  o 1417384001185
not  o 1417384001203
not  t 1417384001219
not  t 1417384001236
not  t 1417384001253
not  t 1417384001270
not  t 1417384001286
not  t 1417384001303
not  t 1417384001320
not  t 1417384001337
not  t 1417384001354
not  t 1417384001371
not  t 1417384001392
not  t 1417384001431
not  t 1417384001510
not  t 1417384001528
not  t 1417384001545
to  t 1417384001667
to  t 1417384001694
to  t 1417384001702
to  t 1417384001717
to  t 1417384001737
to  t 1417384001753
to  t 1417384001769
to  t 1417384001787
to  o 1417384001804
to  o 1417384001832
to  o 1417384002201
to  o 1417384002226
to  o 1417384002244
to  o 1417384002261
to  o 1417384002278
to  o 1417384002294
to  o 1417384002312
be  b 1417384002484
be  b 1417384002502
be  b 1417384002519
be  b 1417384002544
be  b 1417384002569
be  b 1417384002617
be  b 1417384002642
be  b 1417384002661
be  b 1417384002677
be  b 1417384002695
be  b 1417384002715
be  b 1417384002733
be  b 1417384002777
be  b 1417384002804
be  b 1417384002836
be  b 1417384002861
be  b 1417384003147
be  b 1417384003182
be  b 1417384003206
be  b 1417384003223
be  b 1417384003244
be  b 1417384003263
be  b 1417384003292
be  b 1417384003309
be  b 1417384003332
be  b 1417384003501
be  b 1417384003580
be  b 1417384003624
be  b 1417384003671
be  b 1417384003725
be  b 1417384003789
be  b 1417384003829
be  b 1417384003862
be  b 1417384003894
be  b 1417384003965
be  b 1417384004173
be  b 1417384004198
be  b 1417384004217
be  b 1417384004235
be  b 1417384004251
be  b 1417384004269
be  b 1417384004295
to  o 1417384004391
to  o 1417384004423
to  o 1417384004440
to  o 1417384004460
to  o 1417384004475
to  o 1417384004492
to  o 1417384004511
to  o 1417384004527
to  o 1417384004545
to  o 1417384004561
to  o 1417384004578
to  o 1417384004599
to  o 1417384004614
to  o 1417384004630
to  t 1417384004647
to  t 1417384004671
to  t 1417384004688
to  t 1417384004710
to  t 1417384004723
to  t 1417384004975
to  t 1417384005009
to  t 1417384005035
to  t 1417384005053
to  t 1417384005083
to  t 1417384005481
to  t 1417384005529
to  t 1417384005585
to  t 1417384005689
to  t 1417384005729
to  t 1417384005764
to  t 1417384005867
to  t 1417384005884
to  t 1417384005903
to  t 1417384005921
to  t 1417384005942
to  t 1417384005956
to  t 1417384005974
to  t 1417384006243
not  t 1417384006330
not  t 1417384006347
not  t 1417384006364
not  t 1417384006381
not  t 1417384006398
not  t 1417384006415
not  t 1417384006433
not  o 1417384006449
not  o 1417384006476
not  o 1417384006490
not  o 1417384006507
not  o 1417384006523
not  o 1417384006540
not  o 1417384006556
not  o 1417384006574
not  o 1417384006590
not  o 1417384006606
not  o 1417384006624
not  o 1417384006642
not  o 1417384006658
not  o 1417384006675
not  o 1417384006696
not  o 1417384006711
not  o 1417384006725
not  o 1417384006744
not  n 1417384006761
not  n 1417384006777
not  n 1417384006796
not  n 1417384006813
not  n 1417384006829
not  n 1417384006847
not  n 1417384006869
not  n 1417384006886
not  n 1417384006901
not  n 1417384006926
not  n 1417384007311
not  n 1417384007328
not  n 1417384007345
not  n 1417384007364
not  n 1417384007382
not  n 1417384007398
not  n 1417384007415
not  n 1417384007663
